statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y
🟥,NCT02818465,,2017,Role of the Interaction Between AGEs and Their Receptor RAGE in the Development and the Progression of the Uremic Vasculopathy of Hemodialyzed Patients,RAGE-VASCU,False,False
🟥,NCT03371277,,2018,Attributional Style Assessment in Patients With Parkinson's Disease Treated With Deep Brain Stimulation,ParkAIHQ,False,False
🟥,NCT02857387,,2018,Markers of Vascular Aging and Coronary Syndrome,MAVASCOR,False,False
🟥,NCT02814812,,2018,Postoperative Comput Tomography as a Predictor of Postoperative Complications After Pancreatic Surgery,,False,False
🟥,NCT02770482,,2018,Utility of Amyloid Beta-peptide 1-40 Measurement in the Diagnosis of Alzheimer's Disease,ADAB40,False,False
🟥,NCT02837926,,2018,Work Package 4: HPV Vaccination of Women in Screening Ages,CoheaHr-WP4,False,False
🟥,NCT02794129,,2018,Functional Magnetic Resonance Imaging of Formal Thought Disorders in Bipolar Disorder,i-TCP,False,False
🟥,NCT03007108,,2018,Determination of Normal Range Values of Thrombin Generation Parameters in Pediatrics Population Using a New Standardized Thrombin Generation Assay,TGT,False,False
🟥,NCT02864121,,2019,Association Between High-risk HPV Genome Integration Detected by Molecular Combing and Cervical Lesions Severity and/or Evolution,IDAHO,False,False
🟥,NCT03344471,,2019,Factors Associated With Post-Traumatic Stress Disorder in Patients With After Preterm Delivery,PTSD-preterm,False,False
🟥,NCT02787980,,2019,Dosage of Serum Tryptase Levels in a Population of Premature Newborns to Evaluate Mast Cell Activity,,False,False
🟥,NCT02794311,,2019,"AlcoholPredict: Neuropsychology, Brain Imaging and Genetic Polymorphisms in Binge Drinking",AlcoolPredict,False,False
🟥,NCT02816580,,2019,PTMDP (Post-translational Modification Derived Products) as Markers of Frailty in Elderly Subjects,MAFRA,False,False
🟥,NCT03664908,,2019,Detection of Anti-glomerular Basement Membrane Antibodies (Anti-GBM): a Promising Biomarker for Lupus Nephritis (LN) Screening in Systemic Lupus Erythematosus (SLE) Patients?,GOODLUPUS,False,False
🟩,NCT02867579,,2019,Pregnancy Denial and Attachment,Denial-attach,True,True
🟥,NCT02862743,,2019,Molecular Characterization of Advanced Stage Melanoma by Blood Sampling,MELCIRC,False,False
🟥,NCT02862678,,2019,Predictive Value of Diffusion-weighted MRI Performed in Early Post-treatment in the Occurrence of Tumor Recurrence or Progression in Head and Neck Squamous Cell Carcinoma Treated With Chemoradiotherapy: a Pilot Study,ORODIFF,False,False
🟥,NCT04301427,,2020,Smallest Significant Value in Osteodensitomery in an Obese Population,PPVS-ob,False,False
🟥,NCT04875494,,2021,Physical Exercise and Self-esteem: a Randomized Controlled Trial in Domestic Violence Victims,,False,False
🟥,NCT03666260,,2021,Comparison of the Clinical Effectiveness of the Quadratus Lumborum Block and Femoral Block in the Analgesia of Total Posterior Hip Arthroplasty,ATHAQLuB,False,False
🟥,NCT02866812,,2021,Prevalence and Factors Associated With the Occurrence of Depression Six Months After an Endovascular Treatment of Intracranial Aneurysm,DEP-AIC,False,False
🟥,NCT03882463,,2021,Interest of SmartGuard Technology (Predictive System for Stopping Insulin Before Hypoglycemia) in Children With Type 1 Diabetes Treated With Insulin Pump,,False,False
🟥,NCT03852888,,2021,Kinetics of Elimination of Methotrexate and Its Major Metabolite 7-OH-methotrexate for Observant Patients,MetU,False,False
🟥,NCT02879422,,2021,Study of the Association Between Genetic Markers (Endothelial Lipase and Aldose Reductase) and Proliferative Diabetic Retinopathy,REDIAGEN,False,False
🟥,NCT03374618,,2021,Neutrophil Extracellular Traps in Different Forms of Systemic Sclerosis,NET-SSC,False,False
🟥,NCT02862756,,2021,Analysis of Thrombo-embolic Complications After Endovascular Treatment of Unruptured Intracranial Aneurysms,ACET,False,False
🟥,NCT04255121,,2021,Interest of the Alkalinization of the Adrenaline Lidocaine Solution for Conversion of Epidural Analgesia Into Epidural Anesthesia During an Emergency Caesarean,BiEpIC,False,False
🟥,NCT04816084,,2021,SERUR : Etude sérologique COVID-19 (Anti-SARS CoV 2) du Personnel de l'Université de Reims Champagne-Ardenne,SERUR,False,False
🟥,NCT03008746,,2022,Pulmonary Microbiota in COPD Patients Colonized With P. Aeruginosa OprD Mutant Resistant to Imipenem,MiPAD,False,False
🟥,NCT04999254,,2022,Osteopathic Consultation in the Emergency Department for Fresh Lateral Ligament Sprain : a Randomized Controlled Trial,OASED,False,False
🟩,NCT02826928,,2022,Diagnostic Performances of Urine and Plasma 5-hydroxyindolacetic Acid (5HIAA) Values in Patients With Small-intestine Neuroendocrine Tumors,,True,True
🟩,NCT03007095,,2023,Preterm Birth and Social Cognition: of the Executive Functions and Parental Anxiety's Stakes,TERM-COG,True,True
🟥,NCT04117932,,2023,Efficacy and Safety of Ustekinumab in Bullous Pemphigoid,PB-USTE,False,False
🟥,NCT04933097,,2024,Evaluation of a New Screening Method for Sarcopenia in Rheumatoid Arthritis,SARCO-RA,False,False
🟥,NCT05505968,,2024,Evaluation of the Interest of a Virtual Reality Headset on Pain and Anxiety During Epidural Injection Through the Sacrococcygeal Hiatus in Patients With Lumbar Radicular Pain.,Epi-RéV,False,False
🟥,NCT04237077,,2024,Impact of a Telephone Coaching Program on Evolution of Autonomy in Subjects Aged 75 Years or More Living at Home,Frailcoach,False,False
🟥,NCT04326569,,2024,Interest of the Copeptine Dosage in Diagnosis of Post-operative Insipidus Diabetes After Transsphenoidal Pituitary Surgery,Copeptin-surg,False,False
🟥,NCT02807194,,,Epidural Anesthesia Versus General Anesthesia for Elective Lumbar Disk Surgery in a Outpatient Basis,,False,False
