statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results
🟥,,2006-005576-40,2013,Etude de faisabilité de 2 phases II parallèles pré et post-gastrectomie : étude de faisabilité d'un traitement de chimiothérapie et radiothérapie pré-opératoire de l'adénocarcinome gastrique (LV5FU2s + Irinotecan - Radiochimiothérapie + 5FU IV continu) et étude de faisabilité d'un traitement de chimiothérapie et radiothérapie post-opératoire de l'adénocarcinome gastrique (LV5FU2s + Irinotecan - Radiochimiothérapie + 5FU IV continu),TRACE,False,False,False
🟥,NCT01057953,,2013,Oligogenic Determinism of Colorectal Cancer,DOCC,False,False,False
🟥,NCT00525616,,2013,Assessment of Rituximab Efficiency and Tolerance in Treatment of Bullous Pemphigoid.,Rituximab2,False,False,False
🟥,NCT01220388,,2013,Pilot Study of the Action L-lysine on Aldosterone and Cortisol Secretion in Healthy Volunteers.,L-Lysine,False,False,False
🟥,NCT02171377,,2013,Quadricipital Electrical Stimulation in COPD Patients Rehabilitation,Reha-Res,False,False,True
🟥,NCT01350297,,2013,Phrenic Reinnervation in Central Ventilatory Paralysis Due to Medullary Trauma With Phrenic Motoneuron Destruction,TETRADIA-UNI,False,False,False
🟧,NCT02320916,,2013,A Randomized Controlled Trial on the Effect of Needle Gauge on the Pain and Anxiety Experienced During Arterial Puncture,,False,True,True
🟥,NCT01936597,,2013,Prospective Study of 3 Phone Assistance Strategies to Achieve a Continuous Cardiac Massage During Training in Non-hospital Cardiac Cases.,TeleMacc,False,False,False
🟥,NCT01801605,,2013,Does Repetitive Transcranial Magnetic Stimulation (rTMS) Reduce Rectal Hypersensitivity in Patients With IBS ?,,False,False,False
🟥,NCT02110329,,2013,Simultaneous Detection of Somatic Quantitative Molecular Alterations Using the Qantitative Multiplex Pcr of Short Fluorescent Fragments Method (QMPSF) in Stage II-III Colon Cancer: a Prospective Study,Code Barre,False,False,False
🟥,NCT01304576,,2013,"Orientation Agnosia: Neuropsychological Evaluation, Associated Symptoms, Clinical and Anatomical Correlations",AGNORIENT,False,False,False
🟥,NCT00692393,,2013,Primary vs. Secondary Anastomosis After Sigmoid Colon Resection for Perforated Diverticulitis (Hinchey Stage III and IV): a Prospective Multicentric Randomized Trial,DIVERTI,False,False,False
🟥,NCT01103206,,2013,Evaluation of a Parathyroid Hormone Suppression Test With Cinacalcet. Comparison: 1- With the Results of the Intravenous Calcium Suppression Test in Healthy Controls; 2- Between Healthy Controls and Patients With Primary Hyperparathyroidism.,,False,False,False
🟥,NCT02086253,,2014,Role of Endothelin-1 in Mediating Flow-mediated Dilatation of Conduit Arteries During Sustained Hyperemic Stimulation,Endothelin,False,False,False
🟥,NCT02170506,,2014,Effect of Sub-mental Sensitive Transcutaneous Electrical Stimulation on Pharyngeal Muscles Control,TENSVIRT,False,False,False
🟥,NCT01566188,,2014,Cardiovascular Impact of Omega-3 Dietary Supplement From Vegetal Origin in Hypertension Associated With Metabolic Syndrome,CARDIOMEGA,False,False,False
🟥,NCT01765374,,2014,Study of Sonographic Efficacy of Rituximab in Rheumatoid Arthritis,SEWORRA,False,False,False
🟥,NCT00811915,,2014,"A Prospective, Comparative, Multicenter, Randomized Study to Compare the Safety and Efficacy of Sirolimus (Rapamune) to Tacrolimus (Advagraf) Associated to Mycophenolate Mofetil (CellCept) Between 12 and 36 Months After Kidney Transplantation",EPARGNE,False,False,False
🟥,NCT01330745,,2014,Mesenteric Microcirculatory Function Study Through Sublingual Evaluation During Cardiopulmonary Bypass,MICROCARD,False,False,False
🟥,NCT01712581,,2014,Determination of Myocardial Relaxation Times Values in Healthy Volunters,HeartMS,False,False,False
🟧,NCT01707732,,2015,Adjusted Value of Thromboprophylaxis in Hospitalized Obese Patients: A Comparative Study of Two Regimens of Enoxaparin,ITOHENOX,False,True,True
🟥,NCT01275560,,2015,,,False,False,False
🟥,NCT01326416,,2015,Evaluation of the Impact of Physical Reconditioning Associated With Specific Nutritional Supplementation in Obese Patients Suffering From Metabolic Syndrome. OBEFITT Study.,OBEFITT,False,False,False
🟥,NCT02570464,,2015,Aortic Cross-Clamping and Systemic Inflammatory Response in Humans: Effect of Ischemic Preconditioning,CLARIS,False,False,False
🟥,NCT01686347,,2015,Epidural Analgesia and Troubles of Fetal Cardiaq Rythm : Effect of the Systemic Transfer of Ropivacaine and Sufentanil,epidarc,False,False,False
🟥,NCT00903799,,2015,Clinical Efficacy and Efficiency of Gastric Electrical Stimulation (Enterra®) for Refractory Nausea and/or Vomiting,ENTERRA,False,False,True
🟩,NCT01523522,,2015,Etude de l'efficacité et de la sécurité d'Injections Intra-sphinctériennes de Myoblastes Autologues Chez Des Patients Atteints d'Incontinence Anale sévère Par Insuffisance sphinctérienne,MIAS,True,True,True
🟥,NCT02231827,,2015,A Study of the Balance Control During Gait : Comparison of Data Acquisition Between Force Plate and 3D Optoelectronic Gait Analysis System,FREINAGE3D,False,False,False
🟥,NCT01426659,,2015,Evaluation of Language and Sensorimotor Constraints of Very Premature Babies at the Age of 3 Years 1 / 2 Without Cerebral Palsy. Randomised Study of Stimulation Training Implicit in Children Vulnerable,LAMOPRESCO,False,False,False
🟥,NCT02556320,,2015,Immunological and Viral Parameters in Patients Receiving Anti-epileptic Drugs,VIRIDAE,False,False,False
🟥,NCT02029859,,2015,"Sleep Apnea, Obesity and Pregnancy",GOS,False,False,False
🟥,NCT01638845,,2016,,,False,False,True
🟩,NCT02295514,,2016,Correlation Between PTP1B Expression and Organ Failure During Sepsis,SEPP1B,True,True,True
🟥,NCT02001649,,2016,Genetic Variants Associated With Adolescent Suicide Attempts: a Candidate-gene Association Study.,VGTSA,False,False,False
🟥,NCT01212510,,2016,Study of Circulating Markers in Serum of Patients Treated for Metastatic Colorectal Cancer,Coca-Colon,False,False,True
🟥,NCT01588288,,2016,Diagnosis Interest of Galectin 3 Dosage in Nodular and Multinodular Goiter Pretreatment,Galectins,False,False,False
🟧,NCT02311075,,2016,Determination of the Mechanisms Involved in Conduit Artery Endothelial Dysfunction in Type 2 Diabetes,DIAB-EETs,False,True,True
🟥,NCT01931579,,2016,"Assessment of Probe Based Confocal Laser Endo-microscopy for In-vivo Diagnosis of Peripheral Lung Nodules and Masses. ""NODIVEM"" Study",NODIVEM,False,False,False
🟥,,2009-009155-37,2016,Evaluation of the impact of physical reconditioning associated with specific nutritional supplementation in obese patients suffering of metabolic syndrome.,OBEFITT,False,False,False
🟥,NCT01610973,,2016,Comparison of Manual and Automated Techniques in Achieving Posterior Lamellar Transplantation of the Cornea,,False,False,False
🟥,NCT01594463,,2016,Third Trimester Routine Ultrasound in Low-risk Pregnancies : Comparison of Two Timing Periods Procedure for Screening Intrauterine Growth Restriction,RECRET,False,False,False
🟥,NCT02555566,,2016,Role of Epoxyeicosatrienoic Acids in Chronic Allograft Nephropathy,TRANSPLANTEETs,False,False,False
🟥,NCT02557061,,2016,Prognostic Value of the Lymphocytic Infiltrate in Colon Cancers,TIL,False,False,False
🟥,NCT02272166,,2016,Effects of Propofol on Early Recovery of Hunger After Ambulatory Surgery Compared With Sevoflurane,Propo-Faim,False,False,True
🟥,NCT01352910,,2016,,PARALYSTIM,False,False,False
🟩,NCT00784589,,2016,Comparison Between Monoclonal Antibody CD20 Treatment (Rituximab (mabthéra))and General Corticotherapy Treatment in Patients With Pemphigus,Rituximab 3,True,True,True
🟥,NCT02004860,,2017,Phase 3 : Tacrolimus Ointment Interest (PROTOPIC ®) in the Maintenance Treatment of Severe Seborrheic Dermatitis on Adult Face,Disease,False,False,False
🟥,NCT02037191,,2017,RANDOMIZED DOUBLE-BLIND STUDY MULTICENTRIQUE TESTING THE EFFICIENCY OF the METHOTREXATE AT PATIENTS AFFECTED BY GRAVE PELADE (METHOTREXATE VERSUS PLACEBO WITH SECONDARY TREATMENT BY METHOTREXATE and PREDNISONE),MP3,False,False,False
🟩,NCT02594722,,2017,,,True,True,True
🟥,NCT01340001,,2017,Effects of Nucleus Basalis of Meynert Area Electrical Stimulation on Cognitive Behavioral Disorders in Dementia With Lewy Bodies : A Pilot Phase 1 Study,DEMENSTIM,False,False,True
🟩,NCT02920684,,2017,,,True,True,True
🟥,NCT02988570,,2017,Study on the Phenotype of Language in Preterm Born Children at 5 Years of Age,EPILANG2,False,False,False
🟥,NCT01690585,,2017,Efficacy of Parenteral Iron Supplementation After Gastrointestinal Bleeding in Subjects Over 65,FerHem,False,False,False
🟥,NCT02664389,,2017,Targeted Next-generation Sequencing Panel for Identification of Germline Mutations in Early Onset Cancers With Sporadic or Hereditary Presentation,PANEL,False,False,False
🟥,NCT02353702,,2017,Efficacy of Parietal Continuous Infiltration of Local Anesthesic on Diaphragmatic Function After Upper Abdominal Surgery Through a Subcostal Incision,CATPAR,False,False,False
🟥,NCT02021253,,2018,Circulating Endotoxemia After Liver Resection for Hepatocellular Carcinoma in Liver Disease - Influence of Preoperative Administration of Probiotics,LIPROCES,False,False,True
🟥,NCT01521988,,2018,Prevention of Atrial Fibrillation by Combined Right Isthmus Ablation and cryoBalloon Pulmonary Vein Isolation in Patients With Typical Atrial Flutter,PAF CRIOBLAF,False,False,False
🟥,NCT01975753,,2018,First Evaluation of Morphine Hydrochloride by Nebulisation Compared to Intravenous Route in Healthy Volunteers: Preliminary Study Dose,AEROMORPH1,False,False,True
🟥,NCT03750058,,2018,AXONE -Acute : Acute Assessment of a Micro Multipolar Lead for Enhanced Cardiac Resynchronisation Therapy,AXONE-Acute,False,False,False
🟥,NCT02295488,,2018,Determinism of the Mechanism of Action of Specific Immunotherapy in Hymenoptera Venom Allergy,MAISAVEN,False,False,False
🟥,NCT01960270,,2018,Secondary Bilateral or Controlateral Sacral Nerve Stimulation in Overactive Bladder Patients With Unilateral Stimulation Failure - Multicenter Study,NEUROBIL,False,False,True
🟥,NCT02170467,,2018,Study of Intestinal Permeability in Patients With Anorexia Nervosa,PIANO,False,False,False
🟥,,2013-001850-83,2018,"Adaptation to neonatal life  after an anesthetic protocol using remifentanil for general anesthesia for caesarean section in a context of prematurity - REAGI Protocol (Remifentanil for General Anesthesia in the context of Immaturity) 
 
 
 Répercussions sur l'adaptation à la vie néonatale de l'utilisation du rémifentanil au cours d'un protocole d'anesthésie générale pour césarienne dans un contexte de prématurité – Protocole REAGI (REmifentanil pour Anesthésie Générale en contexte d'Immaturité)","REAGI 
 
 
 REAGI",False,False,False
🟥,NCT03614806,,2018,Transcutaneous Carbon Dioxide Pressure (tcPCO2) Monitoring Vs End-tidal Partial Pressure Carbon Dioxide (PetCO2) Measurement in the Diagnosis of Hyperventilation Syndrome (HVS) (TCvsPETCO2 ),TCvsPETCO2,False,False,False
🟥,NCT01994499,,2019,Randomized Study Comparing Pleural Drainage by Videothoracoscopy to Medical Drainage in Infectious Pleural Effusion,VIDMED,False,False,False
🟥,NCT02370771,,2019,Proteomic Analysis in Sera From Patients With Erosive Hand Osteoarthritis,PASEO,False,False,False
🟥,NCT01966640,,2019,Basophil Activation Test (BAT) Sensitivity in Child Food Allergy,TAB-TPO,False,False,False
🟥,,2015-002060-17,2019,"Effect of pharmacological heart rate reduction on visco-elastic properties of the arterial wall - Impact of aging 
 
 
 
 Effet de la réduction pharmacologique de la fréquence cardiaque (FC) sur les propriétés viscoélastiques de la paroi artérielle – impact du vieillissement","BRADY-VASC 
 
 
 BRADY-VASC",False,False,False
🟥,NCT03536403,,2020,Study of Spino-pelvic Sagittal Balance by Vicon® Optoelectronic System - Model of Non-invasive Kyphosis,VICON-SPINE,False,False,False
🟥,NCT04367545,,2020,Development of a Molecular Diagnostic Strategy for SARS-CoV2 Based on Saliva in the Context of the COVID-19 Pandemic,MolCOVID,False,False,False
🟥,NCT03852862,,2020,Double Regional Anesthesia in Video Assisted Thoracoscopy,DRAVATS,False,False,False
🟥,NCT04367662,,2020,Study of the Vascular Compartment and Hypercoagulability During Coronavirus Infection COVID-19,COVID'HEMOS,False,False,False
🟥,,2015-001501-14,2020,Pilot study of aprepitant effect on aldosterone secretion in diabetic patient (diabetes mellitus) with hypertension associated with low renin,APHOS-02,False,False,False
🟥,NCT02550704,,2021,"Association Between High Faecal Calprotectin, Increased Intestinal Permeability and Visceral Hypersensitivity in Patients Suffering From Irritable Bowel Syndrome With Diarrhoea",SIIMPA,False,False,False
🟥,NCT02877654,,2021,Assessment of Intestinal Barrier in Irritable Bowel Syndrome Patients : Is There Any Correlation Between Plasmatic Zonulin and Expression of Intestinal Tight Junction Proteins ?,BISII,False,False,False
🟥,NCT05520996,,2022,Impact of Ostracism on Prospective Memory in ADHD Children With or Without Emotional Dysregulation/ Impact de l'Ostracisme Sur la mémoire Prospective Chez Des Enfants Atteint de TDA/H Avec ou Sans dysrégulation émotionnelle.,IOM-ADHD,False,False,False
🟥,NCT04503655,,2022,Etude Multicentrique évaluant l'efficacité d'Une Intervention Visant à réduire la durée de séjour après l'Implantation d'Une bioprothèse Aortique Par Voie transfémorale,FAST-TAVI II,False,False,False
🟥,NCT04257318,,2022,Clitoris Potential Analgesic Function Research by Pregnant Women : Feasibility Study,FAC,False,False,False
🟩,NCT03718312,,2023,Evaluation of the Effectiveness of Ischemic Pre-conditioning on the Morbidity and Mortality of Open Surgery of Thoracoabdominal Aortic Aneurysms.,EPICATA,True,True,False
🟥,NCT00512304,,,Feasibility Study of 2 Parallel Phases II Pre or Postgastrectomy in Patients With Gastric Cancer (FOLFIRI-radiotherapy Plus 5 Fluorouracil-surgery or Surgery-FOLFIRI-radiotherapy Plus 5 Fluorouracil),TRACE,False,False,False
🟥,NCT00213668,,,Effect of Glutamine on Gastric Emptying and Length of Parenteral Nutrition in Premature Neonates,,False,False,False
🟥,,2011-006209-83,,"Evaluation of the Immune Response against Neisseria meningitidis B:14, P1-7,16 in subjects inoculated by MenBVac ® vaccine. 
 
 
 Evaluation de la réponse Immunitaire contre la souche de Neisseria meningitidis B:14,P1-7,16 chez les sujets amenés à être vaccinés par MenBVac®","Effivac clinical trial extension 
 
 
 extension de l'étude Effivac",False,False,False
🟥,,2011-006268-27,,"Evaluation of the Immune Response against Neisseria meningitidis B:14,P1-7,16 in subjects inoculated by MenBVac (R) vaccine. 
 
 
 Evaluation de la réponse immunitaire contre la souche de Neisseria Meningitidis B:14,P1.7,16 chez les sujets vaccinés par MenBVac®.","MenBVac clinical trial extension 
 
 
 Extension de l'étude MenBVac",False,False,False
🟥,,2011-003539-68,,ETUDE PROSPECTIVE RANDOMISEE COMPARATIVE PREDNISONE/ CYCLOPHOSPHAMIDE VERSUS PREDNISONE/ RITUXIMAB AU COURS DE L'HEMOPHILIE ACQUISE,CREHA,False,False,False
🟥,,2008-003367-40,,"Pilot study of the effect of a substance P antagonist, aprepitant, on aldosterone and cortisol secretions in healthy volunteers 
 
 
 ETUDE PILOTE DE L'EFFET D'UN ANTAGONISTE DE LA SUBSTANCE P, L'APREPITANT, SUR LES SECRETIONS D'ALDOSTERONE ET DE CORTISOL CHEZ LE VOLONTAIRE SAIN",APHOS,False,False,False
