statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results
🟥,NCT02217956,,2015,"Phase I Study of Cisplatin Hyperthermic Intraperitoneal Chemotherapy Dose Escalation After Surgery in Patients With Unresectable Stage IIIC Ovarian, Tube or Peritoneal Primary Adenocarcinoma Previously Treated by Chemotherapy and Completed by Bevacizumab for 15 Months",CHIPASTIN,False,False,False
🟥,NCT00359645,,2015,DEPISTORL - THANCS (Trial of Head And Neck Cancer Screening) Randomized Multicenter Trial to Assess the Impact of a Screening Program for Heavy Alcohol Drinkers and Smokers Treated in Alcohol Addiction Clinics on Upper Aerodigestive Tract Cancer Mortality.,,False,False,False
🟩,NCT02131480,,2016,A Multicentric Phase II Trial Studying Efficacy of Doxorubicin Associated With Trabectedin (Yondelis) in First Line Treatment on Patients With Metastatic Leiomyosarcoma (Uterus or Soft Tissue) and/or Inoperable Relapse,LMS02,True,True,True
🟥,NCT02094391,,2016,"A Randomized, Open Label, Multicenter, Comparative Phase II Trial of Ipilimumab After Isolated Limb Perfusion (ILP), in Patients With In-transit Metastases Melanoma Stage IIIB and IIIC",ILP+/-IPI,False,False,True
🟧,NCT02018874,,2016,"A Phase Ib, Open-label, Dose Escalation Study of the Safety, Tolerability and Efficacy of LY2780301 (a p70/AKT Inhibitor) in Combination With Gemcitabine in Patients With Advanced or Metastatic Cancer",INPAKT,False,True,True
🟥,NCT01884922,,2016,"PHASE I-II STUDY OF VINBLASTINE IN COMBINATION WITH NILOTINIB IN CHILDREN, ADOLESCENTS, AND YOUNG ADULTS WITH REFRACTORY OR RECURRENT LOW-GRADE GLIOMA",VINILO,False,False,True
🟥,NCT01706016,,2016,"Local Treatment by Thermic Destruction of Primitive Breast Cancer. Phase II: Feasibility and Effectiveness, Standardization of Procedures.",LASERBREAST1,False,False,False
🟥,NCT01677884,,2016,Intra-arterial Hepatic Bevacizumab and Systemic Chemotherapy in Hepatic Metastases of Metastatic Colorectal Cancer: a Phase II Multicentric Study With Patients in Progression After First Line Systemic Chemotherapy,BEVIAC,False,False,False
🟥,,2009-012430-70,2016,Etude de phase II multicentrique étudiant l’efficacité de la doxorubicine associée à de la trabectedine (Yondelis)  en première ligne dans le traitement des patients présentant un léiomyosarcome métastatique (utérin ou des tissus mous) et/ou en rechute inopérable,LMS02,False,False,False
🟥,NCT02040064,,2016,"Phase I, Open-label, Safety, Tolerability and Preliminary Efficacy Study of Tremelimumab in Combination With Gefitinib in EGFR Mutant NSCLC Patients",GEFTREM,False,False,True
🟧,NCT02008734,,2016,Randomized Short-term Pre-surgical Study to Assess the Effects of PD 0332991 in Early Breast Cancer Patients,POP,False,True,True
🟥,NCT01626638,,2017,Clinical Evaluation of Confocal Microscopy in Head and Neck Cancer,MEC ORL,False,False,True
🟥,NCT01834950,,2017,Identification of Early Markers of Response and Resistance to Trastuzumab in Patients With Localized Human Epidermal Growth Factor Receptor-2(HER-2)-Positive Breast Cancer Candidates for Breast Conserving Surgery,HERBIN,False,False,False
🟥,NCT01211938,,2017,Randomized Phase 2 Trial Evaluating the Acute Toxicity of Two Protocols of Reirradiation After Surgery in an Irradiated Area for Carcinoma of the Upper Aerodigestive Tract - Single-fraction Radiotherapy With Concomitant 5FU and Hydrea Administered Every Other Week - Continuous Hyperfractionated Radiotherapy With Concomitant Cetuximab,JANORL2,False,False,False
🟩,NCT01464086,,2017,,LIFSCREEN,True,True,True
🟥,,2009-017000-83,2018,Essai de phase II évaluant l’effet curatif de la pravastatine chez des patients présentant une fibrose cutanée et sous-cutanée radio-induite établie,PravaCUR,False,False,False
🟥,NCT02831530,,2018,Randomized Short-term Pre-surgical Study to Assess the Effects of Abemaciclib (LY2835219) in Early Breast Cancer Patients,ABC-POP,False,False,False
🟧,NCT02523612,,2018,Prospective National Multicentre Study to Validate a Model of Surgical Deescalation in Atypicals Breast Lesions,NOMAT01,False,True,True
🟥,NCT02488369,,2018,Study on the Diagnostic Qualities of the Positron Emission Tomography Coupled to the Scanner (PET / CT) in the Assessment of Response to Non-Hodgkin's Lymphoma Therapy in Children and Adolescents,TEP-LYMPHOME,False,False,False
🟥,NCT02672527,,2018,A Randomized Phase III Trial Comparing Trabectedin (Yondelis®) to the Best Supportive Care in Patients With Advanced Soft Tissue Sarcoma,TSAR,False,False,False
🟥,NCT03212651,,2019,A Phase II Study Evaluating Neoadjuvant Pembrolizumab Monotherapy in Patients With Muscle-Invasive Bladder Cancer to Explore in Vivo the Mechanisms of Action of Pembrolizumab,PANDORE,False,False,False
🟩,NCT01268202,,2019,Curative Efficacy of Pravastatine in Patients Presented Delayed Cutaneous and Subcutaneous Radio-induced Fibrosis,PRAVACUR,True,True,True
🟥,NCT01856296,,2019,WINTHER: A Study to Select Rational Therapeutics Based on the Analysis of Matched Tumor and Normal Biopsies in Subjects With Advanced Malignancies,WINTHER,False,False,False
🟧,NCT02390934,,2019,Single Arm Phase II Trial Evaluating the Efficacy of Radium 223 in Radioactive Iodine Refractory Bone Metastases From Differentiated Thyroid Cancer,RAD-THYR,False,True,True
🟥,NCT01540058,,2019,A Randomised Phase III Trial Comparing a Strategy Based on Molecular Analysis to the Empiric Strategy in Patients With Carcinoma of an Unknown Primary (CUP),GEFCAPI04,False,False,False
🟧,NCT02994225,,2019,Axillary Reverse Mapping Using Near-infrared Imaging in Invasive Breast Cancer: Predictors of Nodal Positivity,ARMONIC,False,True,True
🟥,NCT03981666,,2019,Systematic Self-screening of Insomnia and Proposition of a Video-Based Cognitive Behavioral Therapy for Insomnia in Adults Cancer Patients and Survivors: A Pilot Study,SLEEP-4-ALL,False,False,False
🟥,NCT00006455,,2020,International Protocol for the Treatment of Childhood Anaplastic Large Cell Lymphoma,ALCL 99,False,False,True
🟥,NCT02902874,,2020,Study of the Biological Mechanisms Associated With the Immunogenicity in Anaplastic Large Cell Lymphoma ( ALCL ) ALK +,Immuno ALCL,False,False,False
🟩,NCT01371201,,2021,First International Randomized Study in Malignant Progressive Pheochromocytoma and Paraganglioma (PPGL),FIRSTMAPPP,True,True,True
🟩,NCT02997358,,2021,Randomised Phase III Multicentric Study Comparing Efficacy of Doxorubicin With Trabectedin Followed by Trabectedin in Non-progressive Patients Versus Doxorubicine Alone as First-line Therapy in Patients With Metastatic or Unresectable Leiomyosarcoma (Uterine or Soft Tissue),LMS04,True,True,True
🟥,NCT01884623,,2021,Multicentric Randomized Phase III Trial Comparing Methotrexate and Cetuximab in First-line Treatment of Recurrent and/or Metastatic Squamous Cell Head and Neck Cancer in Elderly Unfit Patients According to Geriatric Evaluation,ELAN-UNFIT,False,False,False
🟥,NCT02857569,,2022,A Randomized Phase I/II Trial Evaluating the Safety & Efficacy of Intra-Tumoral Ipilimumab in Combination With Intra-venous Nivolumab in Patients With Metastatic Melanoma,NIVIPIT,False,False,False
🟥,NCT02994576,,2023,A Single-arm Phase 2 Study of Atezolizumab as Induction Therapy in Stage IB-IIIA Non N2 Resectable and Untreated Non-small Cell Lung Cancer (NSCLC),PRINCEPS,False,False,False
🟥,NCT04775121,,2023,Classical Monocyte Kinetics in Chronic Myelomonocytic Leukemia,MONOLIFE,False,False,False
🟥,NCT03596281,,2023,An Open-label Phase 1 of Pembrolizumab in Combination with Bevacizumab and Pegylated Liposomal Doxorubicin in Patients with Platinum Resistant Epithelial Ovarian Cancer,PEMBOV,False,False,False
🟥,NCT04267146,,2024,Phase I-II Study of Nivolumab in Combination With Temozolomide and Radiotherapy in Children and Adolescents With Newly Diagnosed High-grade Glioma,NIVOGLIO,False,False,False
🟩,NCT02494973,,2024,Postoperative Hepatic Arterial Chemotherapy in High-risk Patients as Adjuvant Treatment After Resection of Colorectal Liver Metastases - A Randomized Phase II/III Trial,PACHA-01,True,True,True
🟥,,2018-002688-24,2024,Phase I-II study of nivolumab in combination with temozolomide and radiotherapy in children and adolescents with newly diagnosed high-grade glioma,NIVOGLIO,False,False,False
🟥,NCT00407433,,,Phase 2 Single-Arm Studies of Gemcitabine in Combination With Oxaliplatin Refractory and Relapsed Pediatric Solid Tumors,,False,False,False
🟥,NCT00180856,,,A Phase II Study of Radiofrequency Ablation of Lung Tumors,,False,False,False
🟥,NCT00412503,,,Phase 1 Study of Temozolomide Associated With Topotecan in Refractory or Relapsed Malignant Tumors in Children and Adolescents,,False,False,False
🟥,NCT00180869,,,A Randomized Study of Unmodified Versus Leuko-Reduced Allogeneic Red Blood Cells Transfusion During Surgery in Cancer Patients,,False,False,False
🟥,NCT00002823,,,A LARGE-SCALE TRIAL EVALUATING ADJUVANT CHEMOTHERAPY AFTER CURATIVE RESECTION OF NON-SMALL CELL LUNG CANCER,,False,False,True
🟥,NCT00162708,,,A Randomized Trial Evaluating a Very Intense Radiotherapy-Chemotherapy Regimen Versus a Very Accelerated Radiotherapy in Advanced Head and Neck Squamous Cell Carcinoma,,False,False,False
🟥,NCT00180908,,,"SFOP-OS94: Multicentric Randomised Phase III Trial Comparing Efficacy of Preoperative High-Dose Methotrexate Plus Doxorubicin to Efficacy of High-Dose Methotrexate Plus Etoposide and Ifosfamide, in Children and Adolescents Osteosarcoma",,False,False,True
🟥,NCT00544349,,,Phase II Study Evaluating the Effectiveness of the Association of Chemotherapy LV5FU2 Simplified and Cetuximab With Intra-arterial Hepatic Chemotherapy Using Oxaliplatin in Patients With Colorectal Cancer and Nonresectable Hepatic Metastases,,False,False,False
🟥,NCT00418327,,,"Phase I Studies of TarcevaTM (Erlotinib Hydrochloride, OSI-774) as Single Agent in Children With Refractory and Relapsed Malignant Brain Tumors and in Combination With Irradiation in Newly Diagnosed Brain Stem Glioma",,False,False,True
🟥,,2017-000742-21,,Efficacy of a selective MEK (trametinib) and BRAFV600E (dabrafenib) inhibitors associated with radioactive iodine (RAI) for the treatment of refractory metastatic differentiated thyroid cancer with RAS or BRAFV600E mutation,MERAIODE,False,False,False
🟥,,2017-001606-14,,"A study of patient preference between ODM-201 and Enzalutamide in men with metastatic castrate-resistant prostate cancer 
 
 
 Etude de préférence des patients entre l’ODM-201 et l’Enzalutamide chez des hommes atteints d’un cancer de la prostate métastatique résistant à la castration",ODENZA Preference,False,False,False
🟥,,2018-001744-62,,"A multicenter, open label, phase II basket trial exploring the efficacy and safety of the combination of rucaparib (PARP inhibitor) and atezolizumab (anti-PD-L1 antibody) in patients with DNA repair-deficient or platinum-sensitive solid tumors 
 
 
 Etude de phase II multi-cohorte multicentrique  évaluant  l’efficacité et la sécurité d’emploi de la combinaison  rucaparib (inhibiteur de PARP) et atezolizumab (anticorps anti-PD-L1) chez des patients dont la tumeur présente un défaut de réparation de l’ADN ou est sensible aux sels de platine",ARIANES,False,False,False
🟥,,2019-002507-18,,"Efficacy and feasibility of pasireotide to reduce clinically relevant digestive leakage after complete cytoreductive surgery (CRS) plus Hyperthermic Intra-Peritoneal Chemotherapy (HIPEC) for peritoneal carcinomatosis – a phase II randomized multicentric trial 
 
 
 Evaluation de la faisabilité et de l’efficacité d’un traitement par pasireotide dans la réduction du taux de fistules digestives sévères après chirurgie de cytoréduction complète suivie de  chimio-hyperthermie intra-péritonéale pour carcinose péritonéale – Essai de phase 2 randomisé multicentrique.",PASIREOCHIP,False,False,False
🟥,,2010-019224-31,,INTERGROUP TRIAL FOR CHILDREN OR ADOLESCENTS WITH B-CELL NHL OR B-AL: EVALUATION OF RITUXIMAB EFFICACY AND SAFETY IN HIGH RISK PATIENTS,Inter-B-NHL ritux 2010,False,False,False
