statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
⬛,noir,pas de résultat postés ni publiés,NCT02793245,,,2016,Influence of Patient Characteristics on the Tracheobronchial Anatomy Evaluated by a CT Examination,Scan-Bronchi,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT02878551,,,2017,Evaluation of the Benefits of a Program of Prehabilitation: Pilot Study,PrehabPilote,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT02593357,,,2017,Assessment of a Peripheral Endothelial Dysfunction in COPD (Chronic Obstructive Pulmonary Disease),endothBPCO,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT02897882,,,2017,"Acute and Chronic Pain in Lung Transplantation: Prevalence, Associated Factors, Medical Care",MUCODOULEUR,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT02934308,,,2017,Comparison of the Skin Conductance Values and Patient Pain Scores During Minor Procedures in the ICU,ICUPAIN,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT02413632,,,2017,"Asymptomatic Sexually Transmitted Infections (STI) : Comparison of Two Screening Strategies Routine Screening Versus Screening as Reported by the Risks Taken by the Patient, in a Cohort of HIV Outpatients Men Who Have Sex With Men",DRIVER,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT00896714,,,2017,Impact of Environmental and Demographic Factors on Pre-operative Doses of Anesthetic Agents (Prospective Multicenter Study),PosoAnes,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT03359512,,,2018,Comparison of Two Electroencephalograms (EEG) Monitors in Patients Undergoing General Anesthesia With Sevoflurane,Bis-qCon-Hal,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT02237976,,,2018,Interest of Learning Self-hypnosis in Patients Awaiting Lung Transplantation,SelfHypTp,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat postés ni publiés,NCT02853188,,,2018,Does the Measure of the Plasma Tissue Factor Allow to Predict a Venous Thromboembolism Episode for Patients Presenting a Primitive Lung Cancer?,FT-KBP,False,False,False,OTHER
🟥,rouge,résultat postés ou publiés,NCT02438657,,,2018,Ultrasound-guided Median Nerve Block With Dextrose 5% Hydrodissection: Determination of the Minimal Effective Volume of Local Anesthetic,VMAL,False,False,True,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT03753217,,,2018,Assessment of the Depth of Anesthesia During Intravenous Anesthesia: Comparison of the Bispectral Index Monitor and the qCON Monitor.,Bis-qCON-IV,False,False,False,DEVICE
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT02362815,,,2018,"Fluid Intake During Labour, Ultrasound Evaluation",EGTO,False,True,True,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT02928003,,,2019,Chronic Neuropathic Pain After Lung Surgery: Prevalence and Predictive Factors,DOLORPOUMON,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT03901586,,,2019,Satisfaction and Long-term Anatomic Efficacy Study on Patients Who Underwent a Richter Intervention in the Obstetric and Gynecology Department of Foch Hospital Since 2008,RICHTER,False,False,False,OTHER
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT02926144,,,2019,Can the Use of the McGRATH® MAC Videolaryngoscope Decrease the Number of People Required for Tracheal Intubation in a Population of Patients Without Predicted Difficult Intubation?,MGM3,False,True,True,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT03036774,,,2019,Quantitative Ultrasound Assessment of Gastric Volume in Diabetic and Non Diabetic Patients Scheduled for a General Anesthesia,ECHODIABETE,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT03991767,,,2019,Implementation and Evaluation of an Electronic Alert to Encourage Targeted Screening for HIV Infection at Foch Hospital According to Socio-demographic Criteria: Pilot Study,POP-UP,False,False,False,DIAGNOSTIC_TEST
⬛,noir,pas de résultat postés ni publiés,NCT04418973,,,2020,"Analysis of Breath Volatile Organic Compounds After Dyspnea Induced in the Healthy Subject, by a Threshold Inspiratory Load and During a Maximal Breath Holding.",Volatopnee,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT03755817,,,2020,Immediate Efficacy Assessment of SCENAR's Session on a Common Spinal Pain Syndrome,SCENAR1,False,False,False,DEVICE
🟧,orange,résultat postés ou publiés dans les 36 mois,NCT03290885,,,2020,Combined Use of Contact Aspiration and the Stent Retriever Technique Versus Stent Retriever Alone for Recanalisation in Acute Cerebral Infarction: the Randomized ASTER2 Study,ASTER2,False,True,True,COMBINATION_PRODUCT
⬛,noir,pas de résultat postés ni publiés,NCT02594059,,,2020,Assessment of Peripheral Endothelial Function in Idiopathic Pulmonary Fibrosis,Endoth-FPI,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT03167528,,,2020,Contribution of Learning and Practice of Different Complementary Therapies in Pulmonary Transplant Patients,TOOLBOX,False,False,False,BEHAVIORAL
⬛,noir,pas de résultat postés ni publiés,NCT03036761,,,2021,Interest of Auriculotherapy in Prophylaxis of Migraine and Headache in Patients With Migraines,Migauric,False,False,False,PROCEDURE
🟩,vert,résultat postés ou publiés dans les 12 mois,NCT02235142,,,2021,Localised Cancer of Prostate and Androgen Deficiency.,AndroCan,True,True,True,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT04614883,,,2021,Analysis of Volatile Organic Compounds in Exhaled Air and in Sweat in Patients Referred to the Emergency Reception Service for Suspected COVID-19 Infection: Diagnostic Value and for Rapid Screening,VOC-COVID-Diag,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT05009628,,,2021,Is Routine Postoperative Oxygen Therapy Still Necessary in 2020?,FreeO2,False,False,False,PROCEDURE
⬛,noir,pas de résultat postés ni publiés,NCT02767791,,,2021,Auriculotherapy and Acupuncture's Treatment for Chemotherapy-induced Nausea and Vomiting (CINV),NVCI,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT04726111,,,2021,COVID-19 and Pregnancy: Placental and Immunological Impacts,MaterCov,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT04379154,,,2021,Analysis of Volatile Organic Compounds by Electronic Noses in Hospitalised Patients for an Infection by (SARS-CoV-2): Predictive Interest in Short-term Evolution,VOC-COVID,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT04526041,,,2021,"Language and Music, Speech and the Human Beatbox: Theoretical Issues for Research in General and Applied Linguistics; Monocentric Exploratory Study",HBB,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT04526054,,,2021,Longitudinal and Comparative Study of Morphological Abnormalities of the Olfactory Bulb on MRI and Olfactometry in Anosmic Versus Normosmic COVID-19 Patients,,False,False,False,DIAGNOSTIC_TEST
⬛,noir,pas de résultat postés ni publiés,NCT03126136,,,2021,Predictive Value of a Postural Test on Pulse Pressure Variation During Labor With Epidural Analgesia on Fetal Heart Rate Abnormalities,PP-PERI,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT04541511,,,2022,"Comparison of the 6-minute Walking Test in a Corridor and on a Non-motorized Treadmill, Feasibility Study",TDM6,False,False,False,DIAGNOSTIC_TEST
⬛,noir,pas de résultat postés ni publiés,NCT04479540,,,2022,Assessment of the Risk of Pulmonary Embolism and Coagulation Profile in Patients With SARS Coronavirus (COV-2) Lung Disease,COVIDEP,False,False,False,RADIATION
🟩,vert,résultat postés ou publiés dans les 12 mois,NCT04585178,,,2022,Detection of Postoperative Complications and Particularly Hemodynamic Ones Through Continuous Monitoring Using the Biobeat Patch,Biobeat-Postop,True,True,True,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT02764788,,,2022,,Fib-Auric,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT04613297,,,2022,HLA-G Immuno-Inhibitor Checkpoint Study in Patients With COVID-19 Infection: Molecular and Cellular Assessment,HLA-G-COVID,False,False,False,OTHER
⬛,noir,pas de résultat postés ni publiés,NCT04165161,,,2022,Performance Diagnosis of a Patent Foramen Ovale During Lung Transplantation Using Transesophageal Echocardiography: Comparison of the Injection of Contrast in the Upper and Lower Caval Territories (FOP-TP),FOP-TP,False,False,False,DIAGNOSTIC_TEST
⬛,noir,pas de résultat postés ni publiés,NCT02988830,,,2022,Impact of Subcutaneous Electric Lumbar Stimulation on Treatment of Refractory Chronic and Disabling Lumbago,IMESCUT,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT04880330,,,2023,"Interest of an Auriculotherapy Session in Smoking Cessation Controlled, Randomized, Single-blind Study: Proof of Concept Study",StopAuric,False,False,False,DEVICE
⬛,noir,pas de résultat postés ni publiés,NCT04821115,,,2024,Safety and Efficacy of Low-intensity Shockwave Therapy for Peyronie's Disease,ONDELA,False,False,False,DEVICE
