inserm_concat,NCT Number,Title_first,Acronym_first,Status_first,Study Results_first,Conditions_first,Interventions_first,Outcome Measures_first,Sponsor/Collaborators_first,Gender_first,Age_first,Phases_first,Enrollment_first,Funded Bys_first,Study Type_first,Study Designs_first,Other IDs_first,Start Date_first,Primary Completion Date_first,Completion Date_first,First Posted_first,Results First Posted_first,Last Update Posted_first,Locations_first,Study Documents_first,URL_first,nct,pmids
oui,NCT01592175,"Magnetoencephalography (MEG), Attention and Conscience",,Completed,No Results Available,Change in Sustained Attention|Awareness|Reaction Time,,Brain activity during visuo-spatial attention tasks,"Institut National de la Santé Et de la Recherche Médicale, France",All,18 Years to 40 Years   (Adult),,32,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,C11-49|2011-A01554-37,"March 8, 2012",July 2013,"July 2, 2013","May 7, 2012",,"August 30, 2021","CRICM, Paris, France",,https://ClinicalTrials.gov/show/NCT01592175,NCT01592175,
oui,NCT01602250,Local Anaesthetics Toxicity and Intralipid®,TOXALIP,Completed,No Results Available,Toxicity|Adverse Effects,Drug: placebo|Drug: Intralipid®,Duration of drug infusion|EEG : electroencephalogram|ECG : electrocardiogram|pharmacokinetics of local anesthetics (Area under the plasma concentration versus time curve (AUC)),"Assistance Publique - Hôpitaux de Paris|Institut National de la Santé Et de la Recherche Médicale, France",All,18 Years to 40 Years   (Adult),Phase 2,16,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",P100501,January 2011,August 2013,August 2013,"May 18, 2012",,"December 21, 2016","CIC plurithématique Paris-Est (CIC-9304), Paris, France",,https://ClinicalTrials.gov/show/NCT01602250,NCT01602250,
oui,NCT01605565,Functional Analysis by Dynamic Imaging of the Respiratory Epithelium in Infants With Cystic Fibrosis,,Unknown status,No Results Available,Cystic Fibrosis,Procedure: A nasal brushing,"The main objective is to analyze the functionality of the respiratory epithelium in CF infant using a nasal brushing technique: ciliary beating frequency, cAMP-dependent chloride efflux, potassium efflux, tight and gap junctions functionalities.","Institut National de la Santé Et de la Recherche Médicale, France",All,1 Week to 6 Months   (Child),Not Applicable,30,Other,Interventional,Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,C11-01|2011-A00384-37,November 2011,November 2013,November 2014,"May 25, 2012",,"May 25, 2012","Chu Reims, Reims, France",,https://ClinicalTrials.gov/show/NCT01605565,NCT01605565,
oui,NCT01605578,Description of Abdominal and Gluteo-femoral Subcutaneous Adipose Tissue Cell Population in Women - GLUTAB,,Unknown status,No Results Available,Adipose Tissue,Procedure: Biopsies,To compare the number and the phenotype of cells between abdominal and gluteo-femoral adipose tissue in women.,"Institut National de la Santé Et de la Recherche Médicale, France",Female,25 Years to 45 Years   (Adult),Not Applicable,20,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,C11-48|2011-A01496-35,May 2012,May 2013,May 2014,"May 25, 2012",,"May 25, 2012","Centre d'Investigation Clinique, CHU Purpan, Toulouse, France",,https://ClinicalTrials.gov/show/NCT01605578,NCT01605578,
oui,NCT01607047,French West Indies Leptospirosis Study,LEPTO,Unknown status,No Results Available,Leptospirosis,,Complicated forms of leptospirosis|quality of life,"University Hospital Center of Martinique|Clinique Antilles-Guyane|Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years to 120 Years   (Adult, Older Adult)",,150,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,CHU FDF 10/B/13,December 2010,September 2012,August 2018,"May 28, 2012",,"March 20, 2018","CHU Pointe-à-Pitre Abymes, Pointe-à-Pitre, Guadeloupe, France|CHU Martinique, Fort De France, Martinique, France",,https://ClinicalTrials.gov/show/NCT01607047,NCT01607047,
non,NCT01611740,Contribution of Real Time Analyses of CARdio-RESpiratory Signals to the Diagnosis of Infection in PREterM Infants,CARESS_PREMI,Completed,No Results Available,Bacterial Infection,Procedure: Analysis of the heart rate and respiratory characteristics / Telemonitoring system prototype developed by INSERM U-642,Diagnosis of proven or suspected bacterial infection|Inflammation without proven or suspected bacterial infection defined as follows: a 6 hours period with CRP> 5 mg/L not classified as proven or suspected bacterial infection.|Periods of discomfort defined as at least two EDIN scores above 3 in a 6 hours period,Rennes University Hospital,All,24 Weeks to 32 Weeks � (Child),,525,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2011-A00324-37,May 2012,"December 24, 2018","December 24, 2018","June 5, 2012",,"January 24, 2019","CHU Angers, Angers, Maine Et Loire, France|CHU de Lille, Lille, France|CHU de Rennes, Rennes, France",,https://ClinicalTrials.gov/show/NCT01611740,NCT01611740,
non,NCT01613638,Pregnancy Environment and Newborn Malformations,PENEW,Completed,No Results Available,Congenital Malformation,Other: meconium samples + maternal self-questionnaire,"impact of intra-uterine exposure to solvents, pesticides and alcohol on the risk of congenital malformations diagnosed at births, by measuring the exposure both directly in meconium, and indirectly by questionnaires.|other risk factors such as medicine intake, pregnancy illness�",Rennes University Hospital,All,up to 12 Months � (Child),Not Applicable,1657,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,PHRC/10-02 - PENEW|B110827-40|11/22-811|2010-A01445-34,"October 5, 2012","December 31, 2018","December 31, 2020","June 7, 2012",,"June 1, 2021","Polyclinique de Keraudren, Brest, Brittany, France|Brest University Hospital, Brest, Brittany, France|Lannion Hospital, Lannion, Brittany, France|Lorient Hospital, Lorient, Brittany, France|Ploermel Hospital, Ploermel, Brittany, France|Quimper Hospital, Quimper, Brittany, France|Rennes University Hospital, Rennes, Brittany, France|Saint-Brieuc Hospital, Saint-Brieuc, Brittany, France|Saint-Gr�goire Hospital, Saint-Gr�goire, Brittany, France|Clinique Oc�ane, Vannes, Brittany, France|Vannes Hospital, Vannes, Brittany, France",,https://ClinicalTrials.gov/show/NCT01613638,NCT01613638,
oui,NCT01614080,Outcome of Patients Treated by iv Rt-PA for Cerebral Ischaemia According to the Ratio Sc-tPA/Tc-tPA,OPHELIE,Completed,No Results Available,"Stroke, Acute|Drug Toxicity",,OPHELIE,"University Hospital, Lille|Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years and older   (Adult, Older Adult)",,700,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,10.677|2010_04,November 2011,November 2014,December 2014,"June 7, 2012",,"December 19, 2014","Lille University Hospital, Lille, France",,https://ClinicalTrials.gov/show/NCT01614080,NCT01614080,32015090;27815401
oui,NCT01614873,Comparison of Breathing Pattern During Neurally Adjusted Ventilatory Assist Ventilation and Pressure Support Ventilation,,Completed,No Results Available,Respiratory System Abnormalities,"Device: Servo-i� ventilator, MAQUET,Critical Care, Sweden",Comparison of breathing pattern during pressure support and Neurally Adjusted Ventilatory Assist (NAVA)|Tidal volume evaluated by optoelectronic plethysmography|Electrical diaphragmatic activity recorded by mechanical ventilator,Centre d'Investigation Clinique et Technologique 805|Adep Assistance,All,"18 Years and older � (Adult, Older Adult)",Not Applicable,10,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Basic Science,2012-A0030043,May 2012,May 2012,August 2012,"June 8, 2012",,"April 12, 2013","Hopital Raymond Poincare, Garches, France",,https://ClinicalTrials.gov/show/NCT01614873,NCT01614873,24508509
oui,NCT01619696,Prospective Pilot Study of Multimodal Radiological Evaluation Feasibility During Chemoradiotherapy of Rectal Adenocarcinomas,,Terminated,No Results Available,Rectal Adenocarcinoma,Procedure: Pelvic MRI and F MISO TEP,"acceptation rate of the entire sequence by eligible patients|radiological changes while on chimiotherapy, to tumour regression, and prognosis","University Hospital, Toulouse|Centre National de la Recherche Scientifique, France|Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,3,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,932103,March 2011,December 2012,December 2012,"June 14, 2012",,"January 23, 2013","CHU Toulouse, Toulouse, France",,https://ClinicalTrials.gov/show/NCT01619696,NCT01619696,
oui,NCT01619709,Amyloid Imaging and Cognitive Impairment After Intracerebral Hemorrhage,COGHIC-AV45,Completed,No Results Available,Intracerebral Hemorrhage,Other: Pet AV-45,Pet-AV45 cortical binding|cerebral microbleeds number and distribution on T2EG MRI sequence|White Matter Lesions Volume on 3D-FLAIR MRI sequence|Cortical thickness and hippocampal volume on 3D-T1 MRI sequence|Neuropsychological performances,"University Hospital, Toulouse|Avid Radiopharmaceuticals|Institut National de la Santé Et de la Recherche Médicale, France",All,"40 Years to 90 Years   (Adult, Older Adult)",Not Applicable,70,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,11 223 02|AOL 2011,January 2012,June 2017,June 2017,"June 14, 2012",,"September 21, 2018","Service de neurologie, Toulouse, France",,https://ClinicalTrials.gov/show/NCT01619709,NCT01619709,32394598;28570698
oui,NCT01619722,Study of a National Cohort of Adult Patients With Phenylketonuria,ECOPHEN,Completed,No Results Available,PKU|Hyperphenylalaninemia,,Evaluate a possible cognitive decline and incidence of neurological complications|Determine the prognostic factors of neurological complications,"University Hospital, Tours|Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years and older   (Adult, Older Adult)",,220,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,PHRN10/FM-ECOPHEN,"March 15, 2012","February 15, 2020","July 6, 2020","June 14, 2012",,"April 9, 2021","CHRU-Hôpital Bretonneau - Service de Médecine Interne-Nutrition, Tours, Centre, France|CHU-ANGERS -Médecine Interne, Angers, France|CHU_Service de Médecine Interne Nutrition A2-Hôpital du Haut Levèque, Bordeaux, France|CHU du Morvan-Département de Pédiatrie et génétique médicale,, Brest, France|Hôpital Femme-Mère-Enfant-Centre de Référence des Maladies Héréditaires du Métabolisme de Lyon, Bron, France|CHU de Dijon--Hôpital des Enfants-Centre de Génétique, Dijon, France|CHU de Grenoble-Hôpital MICHALLON-Unité de Neurologie Générale, Grenoble, France|CHU de LILLE-Hôpital Claude HURIEZ-Service d'Endocrinologie, Lille, France|APHM-Hôpital de la Conception -Médecine Interne, Marseille, France|CHU-Service de Réanimation Pédiatrique / Néonatalogie, Consultation spécialisée en Maladies Héréditaires du Métabolisme, Nantes, France|Hôpital Necker Enfants Malades, APHP-Maladies Métaboliques -Service de Pédiatrie, Paris, France|CHU-RENNES-Hôpital Sud-Service de Génétique-Clinique, Rennes, France|CHU de Rouen-Service de Pédiatrie, Rouen, France|CHU de St Etienne-Hôpital Nord-Service de Pédiatrie, St-ETIENNE, France|CHU-Toulouse-Hôpital PURPAN-Service de Médecine Interne, Toulouse, France|University Hospital of NANCY, Vandoeuvre Les Nancy, France",,https://ClinicalTrials.gov/show/NCT01619722,NCT01619722,
oui,NCT01620372,French Childhood Cancer Survivor Study,FCCSS,Recruiting,No Results Available,Childhood Solid Tumor,,All health events of interest,"Institut National de la Santé Et de la Recherche Médicale, France|Ligue contre le cancer, France|National Research Agency, France|Programme hospitalier de recherche clinique, France",All,"up to 18 Years   (Child, Adult)",,18000,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,C12-25,November 2011,,November 2031,"June 15, 2012",,"October 10, 2012","Centre Hospital-Universitaire Hôpital Nord, Amiens, France|Centre Hospitalier-Universitaire, Angers, France|Centre Hospitalier Régional Universitaire Hôpital Saint-Jacques, Besançon, France|Groupe hospitalier Pellegrin, Bordeaux, France|Centre Hospitalier Universaitaire Hôpital Côte de Nacre, Caen, France|Centre Hospitalier Universitaire Hôpial Hôtel Dieu, Clermont Ferrand, France|Centre Hospitalier Universaitaire hôpital d'enfants, Dijon, France|Hôpital La Tronche, Grenoble, France|Centre Oscar Lambret, Lille, France|Hôpital Jeanne De Flandre, Lille, France|Hôpital de la mère et de l'enfant, Limoges, France|Institut d'Hématologie et Oncologie Pédiatrique, Lyon, France|Centre Régional de Lutte Contre le Cancer Centre Léon Bérard, Lyon, France|Hôpital d'Enfants de Margency (HEM) Croix Rouge Française, Margency, France|AP-HM Hôpital de la Timone, Marseille, France|Hôpital Arnaud De Villeneuve, Montpellier, France|Centre Hospitalier Universaitaire Hôpital mère-enfant, Nantes, France|Centre Antoine Lacassagne, Nice, France|GCS Hôpitaux pédiatriques Centre Hospitalier Universitaire Lenval, Nice, France|Institut Curie, Paris, France|Hôpital Armand Trousseau, Paris, France|CHRU de Poitiers La Miletrie, Poitiers, France|Institut Jean Godinot, Reims, France|Centre Hospitalier Universitaire de Reims Hôpital Maison Blanche, Reims, France|Centre Hospitalier Universitaire Hôpital Sud, Rennes, France|Hôpital Charles-Nicolle, Rouen, France|Centre Hospitalier Universitaire Hôpital Nord, Saint Etienne, France|Centre René Gauducheau de Nantes Atlantique, Saint-Herblain, France|Centre Hospitalier de Saintonge, Saintes, France|Hôpital Hautepierre, Strasbourg, France|Institut Claudius Regaud, Toulouse, France|Hôpital des Enfants, Toulouse, France|Hôpital Clocheville, Tours, France|Hôpital Brabois enfants CHU de Nancy, Vandoeuvre-les-Nancy, France|Centre Régional de Lutte Contre le Cancer de Lorraine ALEXIS VAUTRIN, Vandoeuvre-les-Nancy, France|Institut Gustave Roussy, Villejuif, France",,https://ClinicalTrials.gov/show/NCT01620372,NCT01620372,26327481
oui,NCT01620957,Longitudinal Study of the Default-mode Network Connectivity in Brain Injured Patients Recovering From Coma,ACI-Coma,Completed,No Results Available,Coma,,Change of DMN resting state fMRI connectivity between 1 and 2 month after severe brain injury|Compare functional and structural DMN connectivity between 1 and 2 month after severe brain injury,"Institut National de la Santé Et de la Recherche Médicale, France|University Hospital, Toulouse|Association des Traumatisés du Crane et de la Face, Paris, France",All,"18 Years to 75 Years   (Adult, Older Adult)",,43,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,C11-55 Inserm|2012-A00009-34,"July 10, 2012",July 2017,July 2017,"June 15, 2012",,"August 27, 2021","Institut National de la Santé et de la Recherche Medicale, U825, Toulouse, Haute Garonne, France",,https://ClinicalTrials.gov/show/NCT01620957,NCT01620957,
oui,NCT01638884,Prospective Memory Imaging,IMPRO,Unknown status,No Results Available,Alzheimer Disease,Behavioral: Memory assessment|Other: Structural MRI|Other: Functional MRI|Other: Virtual reality / Memory assessment,Rate of volume change of whole brain and other structural MRI measures|Cerebral regions implicated in prospective memory observed by functional MRI|Episodic memory as measured by Cognitive Tests|Virtual reality evaluation of prospective memory|Group differences for each imaging and neuropsychological measurement,"University Hospital, Caen|Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,118,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,2010-A00031-38,September 2010,June 2015,June 2015,"July 12, 2012",,"April 9, 2014","GIP Cyceron, Caen, Calvados, France|MRSH - University of Caen, Caen, Calvados, France|University Hospital Côte de Nacre, Caen, France",,https://ClinicalTrials.gov/show/NCT01638884,NCT01638884,
oui,NCT01638949,Multi-modal Neuroimaging in Alzheimer's Disease,IMAP+,Unknown status,No Results Available,Alzheimer's Disease,Behavioral: Memory assessment|Biological: Circulating biomarkers measure|Genetic: ApoE4|Other: Brain imaging examination MRI and PET examinations,"Rate of volume change of whole brain, hippocampus and other structural MRI measures|Rate of Decline as measured by: Cognitive Tests, Activities of Daily Living, and CDR Sum of Boxes|Rates of change on each specified biochemical biomarker|Rates of change of glucose metabolism (FDG-PET)|Extent of amyloid deposition as measured by 18F-AV45|Group differences for each imaging and biomarker measurement|APOE genotype","University Hospital, Caen|Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,295,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,2011-A01493-38,May 2012,December 2021,,"July 12, 2012",,"April 9, 2014","GIP Cyceron, Caen, Calvados, France|Inserm - EPHE - University of Caen U1077, Caen, France|University Hospital Côte de Nacre, Caen, France|University Hospital Roger Salengro, Lille, France|University Hospital Pontchaillou, Rennes, France|University Hospital Rouen, Rouen, France|University Hospital Tours, Tours, France",,https://ClinicalTrials.gov/show/NCT01638949,NCT01638949,37085328;31286994;27683850
oui,NCT01641016,BREATHER (PENTA 16) Short-Cycle Therapy (SCT) (5 Days on/2 Days Off) in Young People With Chronic HIV-infection,BREATHER,Unknown status,No Results Available,HIV,Drug: efavirenz,"HIV-1 RNA ?50 copies/ml (confirmed on a separate sample within 1 week) at any of week 4, 12, 24, 36 or 48.|HIV-1 RNA <50 c/ml at 24 and 48 weeks|Number of HIV mutations present at week 4, 12, 24, 36 or 48 conferring resistance to drugs taken at randomisation or during the tria|Change in CD4 (absolute and percentage) from randomisation to 24 and 48 weeks|Change in ART (defined as any change from the ART regimen at randomisation)|Grade 3 or 4 clinical and laboratory adverse events|ART treatment modifying adverse events (all grades)|New CDC stage B or C diagnosis or death|Changes in fasting glucose, cholesterol, triglycerides, LDL, HDL and VLDL levels through 48 weeks|Adherence, acceptability, and quality of life over 48 weeks as assessed by patient completed questionnaires","PENTA Foundation|Medical Research Council|ANRS, Emerging Infectious Diseases",All,"8 Years to 24 Years � (Child, Adult)",Phase 2|Phase 3,160,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BREATHER (PENTA 16)|2009-012947-40,April 2011,June 2014,June 2016,"July 16, 2012",,"March 2, 2015","St Jude Children's Research Hospital, Memphis, Tennessee, United States|INSERM, Villejuif, France|Universit�tsklinikum Frankfurt, Frankfurt, Frankfurt am Main, Germany|Our Lady's Children's Hospital, Dublin, Ireland|Program for HIV Prevention and Treatment (PHPT)/IRD 174, Changklan, Muang, Chiang Mai, Thailand|HIV-NAT Thai Red Cross AIDS Research Centre, Bangkok, Thailand|Joint Clinical Research Centre, Kampala, Uganda|Kiev City AIDS Center, Kiev, Vidpochynku 11, Ukraine|Birmingham Heartlands Hospital, Birmingham, United Kingdom|University Hospital Bristol, Bristol, United Kingdom|Leeds General Infirmary, Leeds, United Kingdom|Leicester Royal Infirmary, Leicester, United Kingdom|Evelina Children's Hospital, London, United Kingdom|Great Ormond Street Hospital, London, United Kingdom|Mortimer Market Centre, London, United Kingdom|St George's Hospital, London, United Kingdom|Nottingham University Hospital, Nottingham, United Kingdom|John Radcliffe Hospital, Oxford, United Kingdom",,https://ClinicalTrials.gov/show/NCT01641016,NCT01641016,29684092;28213595
oui,NCT01647295,Social Interactions: Ocular Explorations and Pupillometry in Autism,ISEOP,Completed,No Results Available,Autism Spectrum Disorders,,Total time spent on pictures|Interest zones,"Institut National de la Santé Et de la Recherche Médicale, France",All,3 Years to 12 Years   (Child),,150,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,C11-60|2012-A00520-43,"February 25, 2013",June 2019,"June 18, 2019","July 23, 2012",,"August 26, 2021","CHRU Bretonneau, Tours, France",,https://ClinicalTrials.gov/show/NCT01647295,NCT01647295,
oui,NCT01648738,"Effectiveness of a Short, Intensive and Standardised Spa Therapy for Low Back Pain on Sick Leave Duration",ITILO,Completed,No Results Available,Low Back Pain,"Other: Spa therapy, exercise and educational therapy|Other: Usual care",Frequency of return to work|Pain|Function|Quality of life|TWIST|Sick leave,Assistance Publique - H�pitaux de Paris|Association Francaise pour la Recherche Thermale,All,18 Years to 60 Years � (Adult),Not Applicable,88,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,2010/04,July 2012,December 2015,April 2016,"July 24, 2012",,"January 8, 2018","Cochin Hospital, Paris, France",,https://ClinicalTrials.gov/show/NCT01648738,NCT01648738,
oui,NCT01648868,Transcranial Magnetic Stimulation (rTMS) and Autism.,TMSAUTISME,Completed,No Results Available,Autism Spectrum Disorder,Device: Transcranial Magnetic Stimulation (rTMS),"Fixation time in eyes, mouth and face areas|Eye-tracking or voice human perception correlation|Fractional anisotropy covariation|Fractional anisotropy comparison",Assistance Publique - Hôpitaux de Paris,All,18 Years to 30 Years   (Adult),Not Applicable,97,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,P 081232|2009-A01025-52,"April 6, 2011","September 27, 2017","May 13, 2019","July 24, 2012",,"March 23, 2021","Hôpital Necker-Enfants Malades, Paris, France",,https://ClinicalTrials.gov/show/NCT01648868,NCT01648868,
oui,NCT01648881,Imaging of Dissection of the Descending Aorta,DADI,Completed,No Results Available,Dissection of the Descending Aorta,Radiation: TEP-18FDG for every patient after aortic dissection,,"Assistance Publique - Hôpitaux de Paris|Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years and older   (Adult, Older Adult)",,89,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,P 100505|2011-A00238-33,May 2011,December 2015,August 2019,"July 24, 2012",,"September 18, 2019","Pr Guillaume JONDEAU . Cardiologie. Hôpital Bichat, Paris, Ile De France, France",,https://ClinicalTrials.gov/show/NCT01648881,NCT01648881,
oui,NCT01659437,WHO Drug Study for Buruli Ulcer - Comparison of SR8 and CR8,,Completed,No Results Available,Mycobacterium Ulcerans Infection,Drug: Clarithromycin Extended Release|Drug: Streptomycin intramuscular injection,healing without recurrence and without excision surgery|Recurrence rate within 12 months of treatment initiation|Rate of treatment failure within 12 months of treatment initiation|Rate of paradoxical response within 12 months of treatment initiation|Proportion of patients with reduction in lesion surface area within 12 months of treatment initiation|Time taken for complete lesion healing within 12 months of treatment initiation|Proportion (%) of patients with complete healing without additional surgery or relapse|Interval between healing and recurrence|Proportion of each type of surgery within 12 months of treatment initiation|Time from treatment initiation to surgery if any|Proportion of patients with residual functional limitations|Treatment discontinuation and compliance rates|Incidence of all adverse effects (AEs) within 12 months of treatment initiation,"University Medical Center Groningen|University of Groningen|Facult� de M�decine P&M Curie, Paris-6 - Site Piti�-Salp�tri�re, France|Drugs for Neglected Diseases|World Alliance for Wound and Lymphoedema Care, Switzerland|Inserm U892/CNRS 699 bact�riologie, Universit� CHU;Angers- IRIS France|Institute of Tropical Medicine, Antwerp, Belgium|National Buruli ulcer Control Programme, Ghana Health Service, Accra, Ghana|School of Med Sciences, Kwame Nkrumah Univ of Sci & Techn, Kumasi, Ghana|Komfo Anokye Teaching Hospital|Kumasi Center for Collaborative Research into Tropical Medicine, Kumasi, Ghana|Plastic Surgery and Burns Centre, Korle-Bu Teaching Hospital, Accra, Ghana|University of Ghana|Noguchi Memorial Institute of Medical Research, Accra, Ghana|Program Nat de Lutte contre la L�pre et l'UB;Ulc�re de Buruli, Cotonou, Benin",All,"5 Years and older � (Child, Adult, Older Adult)",Phase 2|Phase 3,310,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,T9-370-1,December 2012,December 2017,January 2018,"August 7, 2012",,"September 26, 2019","Pob� Treatment Center, Pob�, Benin|Agogo Presbyterian Hospital, Agogo, Ghana|Dunkwa Government Hospital, Dunkwa, Ghana|Nkawie-Toase Government Hospital, Nkawie Panyin, Ghana|Tepa Government Hosital, Tepa, Ghana",,https://ClinicalTrials.gov/show/NCT01659437,NCT01659437,32171422;30102705
oui,NCT01671917,Evaluation of an Educational Program Associated With Exercises (EDEX) Before Total Knee Arthroplasty,EDEX,Completed,No Results Available,Knee Osteoarthritis,Other: Educational and exercise program|Other: Usual care,The percentage of patients able to quit independently the orthopedic department|Changes from baseline in functional recovery|Changes from baseline in mean knee pain in the previous 48 hrs|Changes from baseline in mean function in the previous 48 hrs|Changes from baseline in mean quality of life|Changes from baseline in the mean number of steps in the previous week|Satisfaction with the treatment|Cost-effectiveness|Adverse events,"Assistance Publique - H�pitaux de Paris|Institut National de la Sant� Et de la Recherche M�dicale, France|University of Paris 5 - Rene Descartes",All,"50 Years to 85 Years � (Adult, Older Adult)",Not Applicable,262,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,AOM 10042,"October 4, 2012","September 22, 2016","November 29, 2017","August 24, 2012",,"September 20, 2018","CHU Cochin, Paris, France",,https://ClinicalTrials.gov/show/NCT01671917,NCT01671917,35262716
oui,NCT01676194,Transarterial Chemoembolization Prior to Transplantation for Hepatocellular Carcinoma,CATCH,Terminated,No Results Available,Hepatocellular Carcinoma,Other: Intra-arterial administration of DC BeadsR,Survival|Dropout rate|Post-transplantation survival rate|Allograft survival|Time to dropout|Recurrence rate|TACE-induced complications (local and general)|Contrast agent - induced complications|Doxorubicin-induced complications|Efficacy of TACE,Rennes University Hospital,All,"18 Years and older � (Adult, Older Adult)",Phase 3,7,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2012~A00269-34,August 2012,"May 28, 2014","February 16, 2016","August 30, 2012",,"April 12, 2019","H�pital Henri Mondor - Assistance Publique-H�pitaux de Paris, Cr�teil, France|H�pital Michalon, CHU de Grenoble, Grenoble, France|H�pital Claude Huriez, CHU de Lille, Lille, France|H�pital de la Croix Rousse, HCL, Lyon, Lyon, France|H�pital Saint-Antoine / APHP, Paris, France|H�pital Pontchaillou, Rennes, France|H�pital Trousseau, CHU de Tours, Tours, France",,https://ClinicalTrials.gov/show/NCT01676194,NCT01676194,
oui,NCT01682668,"Subthalamic Nucleus, Akinesia and Parkinson's Disease",GB-MOV,Recruiting,No Results Available,Parkinson's Disease,Procedure: Bilateral subthalamic stimulation,Firing rate of the subthalamic neurons|Evoked related potentials of the STN|Biomechanical parameters of gait initiation,"Institut National de la Santé Et de la Recherche Médicale, France",All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,120,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,C11-40|2012-A00225-38,February 2013,May 2024,August 2024,"September 11, 2012",,"January 6, 2023","CIC-GHPS, Paris, France|Groupe Hospitalier Pitie-Salpêtrière, Paris, France",,https://ClinicalTrials.gov/show/NCT01682668,NCT01682668,
oui,NCT01686516,Synaptic Plasticity Imaging With Diffusion MRI,,Unknown status,No Results Available,"""Brain Aging""",,,"Institut National de la Sant� Et de la Recherche M�dicale, France",Male,"20 Years to 80 Years � (Adult, Older Adult)",,35,Other,Observational,Observational Model: Case-Crossover|Time Perspective: Retrospective,C10-58|2011-A00034-37,June 2011,December 2012,December 2012,"September 18, 2012",,"September 18, 2012","Inserm U 825, Toulouse, France",,https://ClinicalTrials.gov/show/NCT01686516,NCT01686516,
oui,NCT01687647,Sputum Cytometry Analysis in Lung Cancer Screening After Professional Asbestos Exposure,AMORCE-CBP,Unknown status,No Results Available,Lung Neoplasms,Other: low-dose CT-scan AND induced sputum sample AND blood test,Risk of false positive|detection of lung cancer|Sensitivity for lung cancer detection compared with CT-scan|Specificity for detection of lung cancer|Predictive Biomarkers,"University Hospital, Caen|Ministry of Health, France",All,"56 Years and older � (Adult, Older Adult)",Phase 3,1000,Other,Interventional,"Allocation: N/A|Intervention Model: Single Group Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Screening",2011-A01380-41|PHRC11-221,September 2012,March 2015,December 2019,"September 19, 2012",,"April 9, 2014","Caen University Hospital, Caen, France|Le Havre Hospital, Le Havre, France|Rouen University Hospital, Rouen, France",,https://ClinicalTrials.gov/show/NCT01687647,NCT01687647,
