"annee_mois";"produit";"n"
"2020 02";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";73
"2020 02";"Médicament à usage humain";8
"2020 02";"Organe, Tissus, Cellule";1
"2020 03";"Dispositif médical";11
"2020 03";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";66
"2020 03";"inconnu";1
"2020 03";"Médicament à usage humain";5
"2020 03";"Organe, Tissus, Cellule";2
"2020 03";"Produit sanguin labile";2
"2020 04";"Dispositif médical";11
"2020 04";"Dispositif médical de diagnostic in vitro";1
"2020 04";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";134
"2020 04";"inconnu";3
"2020 04";"Médicament à usage humain";3
"2020 05";"Dispositif médical";10
"2020 05";"Dispositif médical de diagnostic in vitro";2
"2020 05";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";122
"2020 05";"inconnu";4
"2020 05";"Médicament à usage humain";8
"2020 05";"Produit cosmétique";1
"2020 06";"Dispositif médical";10
"2020 06";"Dispositif médical de diagnostic in vitro";1
"2020 06";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";88
"2020 06";"Médicament à usage humain";4
"2020 06";"Produit sanguin labile";1
"2020 07";"Dispositif médical";6
"2020 07";"Dispositif médical de diagnostic in vitro";2
"2020 07";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";78
"2020 07";"Médicament à usage humain";5
"2020 08";"Dispositif médical";9
"2020 08";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";31
"2020 08";"inconnu";2
"2020 08";"Médicament à usage humain";1
"2020 09";"Dispositif médical";17
"2020 09";"Dispositif médical de diagnostic in vitro";1
"2020 09";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";77
"2020 09";"inconnu";1
"2020 09";"Médicament à usage humain";5
"2020 09";"Organe, Tissus, Cellule";1
"2020 10";"Dispositif médical";12
"2020 10";"Dispositif médical de diagnostic in vitro";2
"2020 10";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";61
"2020 10";"Médicament à usage humain";5
"2020 10";"Organe, Tissus, Cellule";1
"2020 10";"Produit sanguin labile";1
"2020 11";"Dispositif médical";12
"2020 11";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";60
"2020 11";"Médicament à usage humain";4
"2020 11";"Organe, Tissus, Cellule";1
"2020 12";"Dispositif médical";12
"2020 12";"Dispositif médical de diagnostic in vitro";1
"2020 12";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";78
"2020 12";"inconnu";1
"2020 12";"Médicament à usage humain";1
"2020 12";"Organe, Tissus, Cellule";1
"2021 01";"Dispositif médical";16
"2021 01";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";66
"2021 01";"Médicament à usage humain";1
"2021 01";"Organe, Tissus, Cellule";1
"2021 01";"Produit sanguin labile";1
"2021 02";"Dispositif médical";13
"2021 02";"Dispositif médical de diagnostic in vitro";3
"2021 02";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";77
"2021 02";"Médicament à usage humain";7
"2021 03";"Dispositif médical";12
"2021 03";"Dispositif médical de diagnostic in vitro";1
"2021 03";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";84
"2021 03";"inconnu";1
"2021 03";"Médicament à usage humain";5
"2021 03";"Produit sanguin labile";1
"2021 04";"Dispositif médical";19
"2021 04";"Dispositif médical de diagnostic in vitro";1
"2021 04";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";73
"2021 04";"Médicament à usage humain";4
"2021 04";"Organe, Tissus, Cellule";1
"2021 05";"Dispositif médical";12
"2021 05";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";59
"2021 05";"Médicament à usage humain";5
