"annee_mois";"produit";"n"
"2019 11";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";13
"2019 11";"Médicament à usage humain";59
"2019 11";"Organe, Tissus, Cellule";3
"2019 11";"Thérapie génique";2
"2019 12";"Dispositif médical";11
"2019 12";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";10
"2019 12";"Médicament à usage humain";63
"2019 12";"Thérapie génique";2
"2020 01";"Dispositif médical";8
"2020 01";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";11
"2020 01";"Médicament à usage humain";68
"2020 01";"Organe, Tissus, Cellule";1
"2020 01";"Thérapie cellulaire";3
"2020 02";"Dispositif médical";11
"2020 02";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";15
"2020 02";"Médicament à usage humain";74
"2020 02";"Thérapie cellulaire";3
"2020 02";"Thérapie génique";1
"2020 03";"Dispositif médical";6
"2020 03";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";6
"2020 03";"inconnu";3
"2020 03";"Médicament à usage humain";77
"2020 03";"Organe, Tissus, Cellule";1
"2020 03";"Thérapie cellulaire";2
"2020 03";"Thérapie génique";4
"2020 04";"Dispositif médical";7
"2020 04";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";13
"2020 04";"inconnu";2
"2020 04";"Médicament à usage humain";92
"2020 04";"Organe, Tissus, Cellule";1
"2020 04";"Thérapie cellulaire";1
"2020 05";"Dispositif médical";7
"2020 05";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";10
"2020 05";"inconnu";2
"2020 05";"Médicament à usage humain";71
"2020 05";"Organe, Tissus, Cellule";3
"2020 05";"Produit sanguin labile";2
"2020 05";"Thérapie génique";3
"2020 06";"Dispositif médical";10
"2020 06";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";13
"2020 06";"Médicament à usage humain";50
"2020 07";"Dispositif médical";9
"2020 07";"Dispositif médical de diagnostic in vitro";1
"2020 07";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";16
"2020 07";"Médicament à usage humain";80
"2020 07";"Organe, Tissus, Cellule";2
"2020 07";"Thérapie génique";3
"2020 08";"Dispositif médical";3
"2020 08";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";8
"2020 08";"inconnu";2
"2020 08";"Médicament à usage humain";29
"2020 09";"Dispositif médical";10
"2020 09";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";11
"2020 09";"inconnu";1
"2020 09";"Médicament à usage humain";61
"2020 09";"Produit cosmétique";1
"2020 09";"Thérapie cellulaire";2
"2020 09";"Thérapie génique";2
"2020 10";"Dispositif médical";13
"2020 10";"Dispositif médical de diagnostic in vitro";2
"2020 10";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";10
"2020 10";"Médicament à usage humain";69
"2020 10";"Organe, Tissus, Cellule";1
"2020 11";"Dispositif médical";12
"2020 11";"Dispositif médical de diagnostic in vitro";1
"2020 11";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";14
"2020 11";"Médicament à usage humain";78
"2020 11";"Organe, Tissus, Cellule";1
"2020 11";"Thérapie génique";1
"2020 12";"Dispositif médical";7
"2020 12";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";9
"2020 12";"Médicament à usage humain";83
"2020 12";"Organe, Tissus, Cellule";1
"2020 12";"Produit cosmétique";1
"2020 12";"Thérapie génique";1
"2021 01";"Dispositif médical";12
"2021 01";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";13
"2021 01";"Médicament à usage humain";84
"2021 01";"Organe, Tissus, Cellule";1
"2021 01";"Produit sanguin labile";1
"2021 01";"Thérapie génique";4
"2021 02";"Dispositif médical";9
"2021 02";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";14
"2021 02";"Médicament à usage humain";71
"2021 02";"Thérapie cellulaire";1
"2021 02";"Thérapie génique";1
"2021 03";"Dispositif médical";9
"2021 03";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";19
"2021 03";"Médicament à usage humain";107
"2021 03";"Organe, Tissus, Cellule";2
"2021 03";"Produit cosmétique";1
"2021 04";"Dispositif médical";10
"2021 04";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";9
"2021 04";"Médicament à usage humain";60
"2021 04";"Thérapie génique";2
"2021 05";"Dispositif médical";4
"2021 05";"Hors produit de santé (produit non mentionné à l?article L.5311-1 du code de la santé publique)";14
"2021 05";"inconnu";1
"2021 05";"Médicament à usage humain";69
"2021 05";"Organe, Tissus, Cellule";1
