statut,statut_label,statut_name,NCTId,eudraCT,CTIS,completion_year,clinical_trial_title,acronym,results_1y,results_3y,results,intervention_type
📕,rouge,résultat et / ou publication posté,NCT00642980,,,2011,Randomized Multicenter Trial for the Prevention of Preterm Delivery by Testing for and Treatment of Bacterial Vaginosis in the First Trimester of Pregnancy,PREMEVA,False,False,True,DRUG
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT00943748,,,2011,Efficacy and Safety of the Iron Chelator Deferiprone on Iron Overload in the Brain in Parkinson's Disease,FAIR-PARK-I,False,True,True,DRUG
📕,rouge,résultat et / ou publication posté,,2006-006944-78,,2011,Evaluation du bénéfice de survie lors de l'adjonction de pentoxifylline à la corticothérapie dans l'hépatite alcoolique sévère,CorpentoxHAA,False,False,True,
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT01351259,,,2011,Continuous Control of Polyurethane Tracheal-cuff Pressure: Efficiency of a Pneumatic Device,Nosten,False,True,True,DEVICE
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT00914095,,,2011,"Study of Methylphenidate to Treat Gait Disorders And Attention Deficit In Parkinson's Disease: A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Multicentric Trial",PARKGAIT-II,False,True,True,DRUG
📕,rouge,résultat et / ou publication posté,,2008-005801-20,,2011,Etude d’efficacité et d’acceptabilité du méthylphénidate dans les troubles de la marche de la maladie de Parkinson : Etude multicentrique en double aveugle versus placebo.,PARGKAIT II,False,False,True,
📘,bleu,pas de résultat ni de publication,NCT01679093,,,2011,"Antagonism Research Between Antiemetics Agents (Droperidol, Dexametasone, Ondansetron) and Acetaminophen in Thyroidectomy's Post-operative Analgesia.",ANPATHY,False,False,False,DRUG
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT00767091,,,2012,"A Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicentric Trial",CHoPA-I,False,True,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT00766519,,,2013,"Effect of Intraoperative Volume Optimization on Outcome After Intrabdominal Surgery: a Multicenter, Randomized, Double-blind, Comparative Study",EVOLUTION,False,False,False,OTHER
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT01295736,,,2013,"Evaluation of the Efficacy of Sildenafil on Time to Healing in Patients With Scleroderma and Ischaemic Digital Ulcers: a Prospective, Longitudinal, Randomized, Comparative, Double-blind, 2-parallel-arm, Placebo-controlled Study",SEDUCE,False,True,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT01279096,,,2013,A Phase I Dose Escalation Study of Clofarabine Given in Combination With Multi-agent Therapy for Remission Induction in Pediatric Patients With Acute Lymphoblastic Leukemia in First Relapse or Refractory to First Line Therapy -,Vandevol,False,False,False,DRUG
📕,rouge,résultat et / ou publication posté,NCT01415219,,,2013,Efficacy of an Individual Rehabilitation Program in Polymyositis and Dermatomyositis,,False,False,True,OTHER
📘,bleu,pas de résultat ni de publication,NCT01487395,,,2013,Effect of a 15-day Donepezil Treatment on Biomarkers of AD in Healthy Volunteers,PharmacogWP3,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT00639964,,,2013,Exploration of the Lipid Metabolism During the Diabetic Pregnancies and Research for New Biological Predictors to Nutritional Interventions,DIAMANT,False,False,False,OTHER
📕,rouge,résultat et / ou publication posté,NCT03164746,,,2014,Demonstration of the Effectiveness of Treatment by Therapeutic Body Wraps in Children and Adolescents Suffering From Autism Spectrum Disorder With Severe Injurious Behavior.,PACKING,False,False,True,OTHER
📘,bleu,pas de résultat ni de publication,NCT01341002,,,2014,Red Blood Cells (RBC) Transfusion Related to Central Venous O2 Saturation,,False,False,False,PROCEDURE
📕,rouge,résultat et / ou publication posté,NCT04354311,,,2014,Relationship Between the ANI Score During Standardized Painful Stimulation and the Nociceptive Response to Laryngoscopy Intubation,ANI_LARYNGO,False,False,True,DEVICE
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT01965821,,,2014,Impact of Mallinckrodt Electronic Device on Continuous Control of Tracheal Cuff Pressure,RCPBALSTAT,False,True,True,DEVICE
📕,rouge,résultat et / ou publication posté,NCT01123174,,,2014,"Effectiveness of a ""Case Management Algorithm"" After a Suicide Attempt in Terms of Repetition of the Suicidal Behaviors and Medico-economic Impact",ALGOS,False,False,True,BEHAVIORAL
📘,bleu,pas de résultat ni de publication,NCT03066362,,,2014,"Respiratory Variations of the Inferior Vena Cava and Femoral Artery Flow to Predict Fluid Responsiveness in Spontaneously Breathing Patients With Sepsis, Acute Circulatory Failure, and Regular Cardiac Rhythm",ReVaPreF,False,False,False,OTHER
📕,rouge,résultat et / ou publication posté,NCT00937456,,,2015,Open vs Laparoscopically-assisted Esophagectomy for Cancer: A Multicentric Phase III Prospective Randomized Controlled Trial,,False,False,True,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT01637441,,,2015,Randomized Study Comparing Laparoscopic Sacropexy and Vaginal Mesh Surgery in Cystocele Repair,PROSPERE,False,False,False,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT03066375,,,2015,"Diagnostic Accuracy of the Inferior Vena Cava Collapsibility to Predict Fluid Responsiveness in Spontaneously Breathing Patients With Sepsis, Acute Circulatory Failure, and Irregular Cardiac Rhythm",ReVaPreF2,False,False,False,DEVICE
📘,bleu,pas de résultat ni de publication,NCT01641627,,,2015,"Phase 2 Randomized Clinical Trial, Efficy of a Proprioceptive Stimulation Device in Term of Prevention of Muscle Atrophy of the Calf After Total Knee Replacement",PrevAtrophy,False,False,False,PROCEDURE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT01745640,,,2015,A Multicenter Open Label Phase II Study of Pomalidomide and Dexamethasone in Progressive Relapsed or Refractory Multiple Myeloma Patients With Deletion 17p or Translocation (4;14) Adverse Karyotypic Abnormalities-IFM2010-02,IFM2010-02,True,True,True,DRUG
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT02844101,,,2015,Assess Whether Knowledge by the Children and Adolescents of the Function of the Accelerometer Determines Its Amount of Physical Activity,ACCELORIX2,False,True,True,DEVICE
📘,bleu,pas de résultat ni de publication,NCT01713504,,,2015,Identification of New Markers in the Hypereosinophilic Syndrome,SHE,False,False,False,BIOLOGICAL
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT01053949,,,2015,A Multicenter Randomized Open Label Phase II Study of Pomalidomide and Dexamethasone in Relapse and Refractory Multiple Myeloma Patients Who Are Progressive and Did Not Achieve at Least a Partial Response to Bortezomib and Lenalidomide,IFM2009-02,True,True,True,DRUG
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT01948635,,,2015,Impact of Tracheal Cuff Shape on Microaspiration in Intensive Care Units,BestCuff,False,True,True,DEVICE
📘,bleu,pas de résultat ni de publication,NCT02662725,,,2015,A Multicenter Phase II Study of Ipilimumab Combined With a Stereotactic Radiosurgery in Melanoma Patients With Brain Metastases,IPI+RTS,False,False,False,RADIATION
📘,bleu,pas de résultat ni de publication,NCT02250755,,,2015,Comparison of MRI Sequences T1 and T2 * Cerebral Perfusion to Aid in the Diagnosis and Evaluation of Brain Therapeutic Response With Chemotherapy or Targeted Therapy(s) Lesion(s) in Patients Treated and Followed for a Pulmonary Neoplasia,METAPERF,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT02164253,,,2016,Feasibility and Safety Pilot Therapeutic Study of the Iron Chelator Deferiprone in Amyotrophic Lateral Sclerosis,SAFEFAIRALS,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT03751787,,,2016,Interest of Treatment With Cranial Osteopathy in Functional Disorders of the Newborn,,False,False,False,OTHER
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT02154178,,,2016,Fungal Biomarkers to Reduce Duration of Empirical Antifungal Therapy: a Randomized Comparative Study,STAFE,True,True,True,OTHER
📘,bleu,pas de résultat ni de publication,NCT04146675,,,2016,"Pilot Study for the Evaluation of a T-shirt ""Balance"" Containing Ceramic Fibers",Equi-tee-shirt,False,False,False,DEVICE
📘,bleu,pas de résultat ni de publication,NCT00946959,,,2016,Characterization of Factors Influencing the Occurrence of Cognitive Decline in Patients With Coronary Artery Disease and Undergoing Cardiac Surgery and Coronary Angioplasty,COGCAR,False,False,False,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT01622400,,,2016,Randomized Prospective Trial Evaluating the Efficacy of a Dedicated Therapeutic Education Program on the Blood Pressure and Other Cardiovascular Risk Factors Control in General Practice Patients at High Cardiovascular Risk,,False,False,False,OTHER
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT01123187,,,2016,Phase 2 Study of Islet Cell Transplantation in Patients With Type I Diabetes With Previous Kidney Transplantation With Steroid Free Immunosuppression,,True,True,True,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT02364908,,,2016,Prospective Evaluation of Adherence to Antimalarials in Patients With Systemic Lupus and Role of Therapeutic Education,ESSTIM,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT02750150,,,2016,A Randomized Trial to Evaluate Freezed-dried Plasma in the Initial Management of Coagulopathy in Trauma Patients,TrauCC,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT02242955,,,2016,Impact of a One-month Long Detoxification Diazepam Treatment on Early Alcohol Relapse,DIAMA,False,False,False,DRUG
📕,rouge,résultat et / ou publication posté,NCT02213302,,,2016,Effects of Premedication by Midazolam on Preoperative Anxiety for Emergency Surgery,,False,False,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT03280290,,,2017,Partial Selective Depletion in Lymphocytes Transplant T CD4+ CCR7+ in Hematopoeitic Stem Cells Allograft,CCR7-CD4-DPL,False,False,False,BIOLOGICAL
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT03286660,,,2017,Chair Rise Tests for a Simplified Evaluation of Functional Response After a Rehabilitation Program in Patients COPD.,3CRT,False,True,True,DIAGNOSTIC_TEST
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT02905071,,,2017,Study of the Psychometric Properties of the Scale of Well-being at Work: The Serenat Study,SERENAT,False,True,True,OTHER
📘,bleu,pas de résultat ni de publication,NCT02969733,,,2017,The Interest of the Xylocaine® and Ketamine on the Per and Postoperative Management of Acute and Chronic Postoperative Pain After Colectomy by Laparoscopy,KETALIDO,False,False,False,DRUG
📕,rouge,résultat et / ou publication posté,NCT01488214,,,2017,Assessment of Neuropsychiatric Involvement in Systemic Sclerosis.,NeuroScS,False,False,True,OTHER
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT03076892,,,2017,A Phase II Study Evaluating the Non-inferiority and Better Tolerability of the Device PHOS-ISTOS Compared to the Conventional Photodynamic Therapy (PDT),PHOS-ISTOS,False,True,True,DEVICE
📘,bleu,pas de résultat ni de publication,NCT03749304,,,2017,Monitoring Analgesia by ANI (Analgesia The Nociception Index) During Surgery Inflammatory Bowel,ANI-MICI,False,False,False,DEVICE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT02302469,,,2017,A Multicenter Phase I/II Dose Escalation Study of Lenalidomide in Relapse/Refractory Waldenstrom Macroglobulinemia,RV-WM-0426,True,True,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT02902016,,,2017,Modulation of Lactase Expression by a New Synthetic PPARgamma Ligand in Ex-vivo Cultures of Duodenal Biopsies,,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT02193412,,,2017,Influence of Variations of Systemic Venous Return on Analgesia Nociception Index (ANI) During General Anaesthesia,,False,False,False,PROCEDURE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT02812901,,,2017,Morning / Afternoon Variation in Myocardial Ischemia Tolerance,TOMIS,True,True,True,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT03185403,,,2017,Comparison of the Hemodynamic Effect Between the Paravertebral Block and Thoracic Epidural in Esophageal Surgery With Thoracotomy .,HEMOBLOC,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT02778178,,,2017,"Analgesic Efficacy of Transversus Abdominis Plane (TAP) Block After Lumbar Spine Surgery Through Anterior Approach (Anterior Lumbar or Direct Lateral Interbody Fusion): a Prospective, Randomized, Double-blind Placebo-controlled Study",TAP-LIF,False,False,False,DEVICE
📘,bleu,pas de résultat ni de publication,NCT03509805,,,2017,Sleep Apnea Syndrome in Obese Women During Pregnancy,,False,False,False,DIAGNOSTIC_TEST
📘,bleu,pas de résultat ni de publication,NCT03381456,,,2017,Task-dependent Operation of a Mechanism Intracortical Inhibition in Dystonia,LICIdystonie,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,,2012-000770-36,,2017,"Efficacité et tolérance du nilotinib chez les patients atteints d'une maladie chronique du greffon contre l’hôte (Graft Versus Host, GVH) n'ayant pas répondu à l'imatinib mésilate.",Double ITK-GVHc,False,False,False,
📘,bleu,pas de résultat ni de publication,NCT02891395,,,2017,"Efficacy and Safety of Nilotinib in Patients With a Chronic Disease of the Graft Against the Host (Graft Versus Host, GVH) Did Not Respond to Imatinib Mesylate.",DoubleITK,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT02662504,,,2018,"Pilot Study of the Feasibility of Intrapleural Photodynamic Therapy in a Multimodal Treatment Combining Extended Pleurectomy/Decortication, Adjuvant Chemotherapy and Prophylactic Radiotherapy in Patients With Malignant Pleural Mesothelioma",MesoPDT,False,False,False,PROCEDURE
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT02525705,,,2018,Frequency of Occurrence of Dumping Syndrome After Operation of Esophageal Atresia Type III,DUMPING,False,True,True,BIOLOGICAL
📘,bleu,pas de résultat ni de publication,NCT02272361,,,2018,Randomized Controlled Trial Comparing Laparoscopic Sacropexy and Vaginal Mesh Surgery for Women Cystocele Repair: Functional and Anatomical Results at Four Years Follow-up,PROSPERE4,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT02881437,,,2018,Assessment of the IgG Trough Level in Subjects With Primary Immunodeficiency Switching From Standard Subcutaneous Immunoglobulin (SCIG) to Every Other Week HyQvia,,False,False,False,DRUG
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT02621775,,,2018,Effectiveness of Two Stress Management Programs in the Adaptation Disorder With Anxiety (ADA) : Computer-based or Face- to -Face to Face Versus Control Group.Open Multicenter Prospective Randomized Controlled Therapeutic 3 Parallel Groups,Seren@ctif,True,True,True,BEHAVIORAL
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT02281916,,,2018,"Safety Study of P28GST Treatment in Crohn's Disease Patients, a Multicenter Phase 2 Clinical Trial",ACROHNEM,False,True,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT02702128,,,2018,Preventive EXACYL® on Perioperative Bleeding During Orthognathism of Maxillary Surgery,LEFORTEXACYL,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT03980210,,,2019,Effect of Hyperbaric Oxygen Therapy on Healthy Volunteers Microcirculation,MICROHB,False,False,False,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT03158376,,,2019,"Perioperative Gabapentin for Chronic Post-thoracotomy Pain: a Randomized, Double Blind, Placebo-controlled Study.",GABATHOMIE,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT03370627,,,2019,Effect of Monoclonal Anti-cd303 on the Inhibition of Type I Interferon Secretion in the Peripheral Blood of Patients With Autoimmune Diseases,ANTI-CD303,False,False,False,BIOLOGICAL
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT02821169,,,2019,Impact of Infiltration in the Region of the Palatine Ganglion Spheno by Ropivacaine on Postoperative Pain in the Setting of Endoscopic Sinonasal Surgery.,ROPI_POSTOP,False,True,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT03342820,,,2019,Impact of Muscular Fatigability on Spastic Co-contractions Between the Quadriceps and Hamstrings in Stroke Patients,COCON,False,False,False,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT03238430,,,2019,Management of Pain Post Hepatectomy : Infiltration of Local Anesthetics Versus Continuous Spinal Analgesia .,CATHEPAT,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT02884557,,,2019,Evaluation of the Expression of Natural Killer T Cells (NKT) Marker in the Gut of Patients With Primary Sclerosing Cholangitis (PSC) Complicated by an Inflammatory Bowel Disease (IBD),NKT-CSP/MICI,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT03565822,,,2019,Qualitative Study of the Impact of the Birth of a Child With a Rare Abdomino-thoracic Malformation on the Parental Adjustment of the First Year,INEMAT,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT03232697,,,2019,French Language Validation of the Phone Version of the Montreal Cognitive Assessment (MoCA),MoCATEL,False,False,False,DIAGNOSTIC_TEST
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT01756794,,,2019,Validation of an Accelerated Procedure of Selection in Early Liver Transplantation for Severe Alcoholic Hepatitis Not Responding to Medical Treatment QuickTransHAA.,QuickTrans,False,True,True,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT03743831,,,2019,"Comparison of Haemodynamic Effects During Orotracheal Intubation, by Direct or Indirect Laryngoscopy With Airtraq, Controlled, Prospective, Randomized, Simple-blind, Monocentric Study at the Lille University Hospital Specialties Block.",HEMODAIRTRAQ,False,False,False,DEVICE
📘,bleu,pas de résultat ni de publication,NCT03710096,,,2019,Comparison of McGrath and Macintosh Laryngoscopes for Insertion of a Double Lumen Tube by Residents,MacGrathDES,False,False,False,DEVICE
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT03315819,,,2019,"First Episode of Anterior Glenohumeral Dislocation in Adult Patients Under 25 Years of Age: Anterior Capsulo-labral Reinsertion by Arthroscopic Approach Versus Immobilization """,BANKART,False,True,True,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT02281929,,,2019,Evaluation of the Efficacy of an Antibiotic Combined With Standard Treatment in Severe Alcoholic Hepatitis,AntibioCor,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT03808246,,,2019,Detection of Usability Errors of a Medical Device Zeneo®,,False,False,False,OTHER
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT01594450,,,2019,"Use of Biological Mesh Versus Standard Wound Care in Infected Incisional Ventral Hernias: a Multicenter Randomized Controlled Trial, the SIMBIOSE Study",SIMBIOSE,True,True,True,BIOLOGICAL
📘,bleu,pas de résultat ni de publication,NCT02994017,,,2019,Prognostic Value of Functional Exercise Test (EFX) in Cystic Fibrosis,EFX,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT02667574,,,2020,Phase II Study Evaluating the Interest of Vismodegib as Neo-adjuvant Treatment of Basal Cell Carcinoma (BCC),VISMONEO,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT04173364,,,2020,"Interscalene Block and Dysfunction Diaphragmatic: Effect of Low Volume of Ropivacaine 0,1%. A Randomised, Controlled Trial",NUMEROBIS,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,,2015-003679-31,,2020,"Conservative iron chelation as a disease-modifying strategy in Parkinson’s disease 
 
 
 Chélation conservatrice du fer comme stratégie thérapeutique susceptible de ralentir la progression de la maladie de Parkinson",FAIRPARK II,False,False,False,
📘,bleu,pas de résultat ni de publication,NCT04231656,,,2020,Stoke Volume Measurements During Changes in Cardiac Preload: Are Pulse Contour Analysis (CLEARSIGHT) and Transthoracic Bioelectrical Impedance (NICCOMO) Equivalent?,ConBi-Car,False,False,False,DEVICE
📙,orange,résultat et / ou publication posté dans les 36 mois,NCT03735043,,,2020,"Continuous Non-invasive Cardiac Output, an Evaluation of ccNexfin© in a Pregnant Population",CoNex,False,True,True,DEVICE
📘,bleu,pas de résultat ni de publication,NCT04181502,,,2020,"Randomized, Single-blind Study of Remote Ischemic Preconditioning in Hepatectomies",HEPATOPROTECT,False,False,False,PROCEDURE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT02655315,,,2020,"Conservative Iron Chelation as a Disease-modifying Strategy in Parkinson's Disease. European Multicentre, Parallel-group, Placebo-controlled, Randomized Clinical Trial of Deferiprone""",FAIRPARKII,True,True,True,DRUG
📘,bleu,pas de résultat ni de publication,NCT02880033,,,2020,Modulation of Oxidative Stress and Apoptosis of Energy Metabolism by Deferiprone From the Circulating Lymphocytes of Patients With Parkinson's Disease or Amyotrophic Lateral Sclerosis,LymphoEnergy,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT03012490,,,2020,"Efficacy, Safety and Cost of Comprehensive Versus Standard Remote Monitoring of Patients With Cardiac Resynchronization Therapy",ECOST-CRT,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT02626481,,,2020,A Multicenter Open Label Phase II Study of Daratumumab in Combination With Dexamethasone in Multiple Myeloma Resistant or Refractory to Bortezomib and Lenalidomide and Pomalidomide - an IFM 2014-04 Study,IFM2014-04,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT02849236,,,2020,Analgesic Efficacy of the Pectoral Nerve Block Type 1 for Breast Subpectoral Implant Surgery: A Randomized Controlled Study,,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,NCT03255863,,,2020,Determinants of Patients' Uptake of Therapeutic Education Programme,UTEP,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT03261414,,,2020,"Prospective Randomized Study Evaluating the Effect of Pre-operative Hypnosis on Anesthesia, Analgesia and Perioperative Stress Laparoscopic Ileo-caecal Resections of Crohn's Disease.",HYSTERIA,False,False,False,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT02891330,,,2020,Assessing the Impact of an Educational Personalized Clinical Support Device Preventive and a Referent Nurse in Surgery for Obesity With the Risk of Occurrence of Dumping Syndrome After Gastric Bypass.,IRCO,False,False,False,BEHAVIORAL
📘,bleu,pas de résultat ni de publication,NCT03946046,,,2020,Results of Botulinum Toxin Injections for Cervical Dystonia : Benefits of Ultrasonography,RINOCERAUS,False,False,False,PROCEDURE
📘,bleu,pas de résultat ni de publication,NCT04535115,,,2021,Intraoperative Hemodynamic Optimization: Predictive Value to Fluid Respon-siveness of the Tidal Volume Challenge and the Lung Recruitment Maneuver by Monitoring the Variation of the Pulsed Pressure and the Variation of the Systolic Ejection Volume.,TIDALEC,False,False,False,PROCEDURE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT04381637,,,2021,"Newborn Infant Parasympathetic Evaluation (NIPE) Index After Three Standardized Tetanic Stimulations (10, 30 and 60 Miliamps) Performed in a Randomized Sequence Under General Anesthesia in a Pediatric Population",NIPESTIM,True,True,True,PROCEDURE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT02086214,,,2021,Pressure Therapy in the Treatment of Upper Arm of Cerebral Palsy Children,PROPENSIX,True,True,True,DEVICE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT02749110,,,2021,Participation in Screening for Cervical Cancer: Interest of a Human Papillomavirus (HPV) Self-sampling Device Provided by the General Practitioner; a Cluster Randomized Clinical Trial,PaCUDAHL-Gé,True,True,True,DEVICE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT03048240,,,2021,A Pilot Study of the Feasibility of Intraoperative Photodynamic Therapy of Glioblastoma.,INDYGO,True,True,True,DEVICE
📘,bleu,pas de résultat ni de publication,NCT03726203,,,2021,"Benign Gynecologic Laparoscopic Surgery: Comparison of Conventional Trocars to the Teleflex® MiniLap® System in Length of Hospitalization, Pain and Aesthetics, a Randomized Study.",MiniTroc,False,False,False,DEVICE
📘,bleu,pas de résultat ni de publication,NCT05994196,,,2021,Evaluation of a Patient Prioritization Software for the Secondary Prioritization of Patients in the Pediatric Emergency Department,OPTIMUM,False,False,False,BEHAVIORAL
📘,bleu,pas de résultat ni de publication,NCT03200769,,,2021,Study of the Efficacy of the Treatment of Sleep Apnea Syndrome by CPAP in Pharmacoresistant Epilepsy,SASER,False,False,False,DEVICE
📘,bleu,pas de résultat ni de publication,NCT03801941,,,2021,Cross Over Pilot Study for Evaluation of Pain Reduction in Patients With Chronic Low Back Pain (for More Than 3 Month) Using an Innovative Handheld Device,ATLAS,False,False,False,DEVICE
📘,bleu,pas de résultat ni de publication,NCT03741569,,,2022,"Development of a Real-time Signal Processing Algorithm, for Beat-beat Measurement of Fetal Heart Rate and Uterine Contractions by Coupling Non-invasive ABDOminal Sensors",RCF-ABDO,False,False,False,DEVICE
📗,vert,résultat et / ou publication posté dans les 12 mois,NCT01373866,,,2022,Multimodal MRI-guided Repetitive Transcranial Magnetic Stimulation to Treat Drug-resistant Hallucinations: a Randomized Control Trial,MULTIMODHAL,True,True,True,DEVICE
📘,bleu,pas de résultat ni de publication,NCT03556696,,,2022,Automatic Remifentanil Administration Guided by the Analgesia Nociception Index During Propofol Anesthesia,ANI-LOOP,False,False,False,DEVICE
📘,bleu,pas de résultat ni de publication,NCT01423396,,,2022,Impact of Controlling Vascular Risk Factors on the Progression of Alzheimer's Disease,COVARAD,False,False,False,OTHER
📘,bleu,pas de résultat ni de publication,NCT04332276,,2024-517566-42-00,2024,A New Concept of Continuous Dopaminergic Stimulation by Cerebroventricular Administration of A-dopamine (dopamine Stored in Anaerobia) for Severe Motor Fluctuations in Parkinson's Disease?,DIVE,False,False,False,DRUG
📘,bleu,pas de résultat ni de publication,,2016-001480-36,,,"Assessment of the IgG trough level in subjects with primary immunodeficiency switching from standard subcutaneous immunoglobulin (SCIG) to every other week HyQvia  
 
 
 Évaluation du taux résiduel d’IgG chez des sujets atteints de déficit Immunitaire Primitif (DIP), après substitution d’injections sous-cutanées d’immunoglobuline standard (IGSC) par HyQvia administré toutes les deux semaines.","HyQvia 
 
 
 HyQvia",False,False,False,
