statut,NCTId,eudraCT,completion_year,clinical_trial_title,acronym,results_1y,results_3y
🟥,NCT02803671,,2017,"Analysis of the Impact of Patent Ductus Arteriosus on Brain Function in Preterm Neonates: Multimodal Approach Integrating EEG-NIRS, Ultrasound and Clinical Data",NNP-MULTIMODAL,False,False
🟥,NCT02818595,,2017,Development of Maternal Voice Recognition in Preterm Neonates,PREMAVOIX,False,False
🟥,NCT01999634,,2017,Evaluation of Microdialysis to Monitor Postoperative Outcomes After Proctectomy,MTM-COLON-II,False,False
🟥,NCT03133455,,2017,Repetitive Thoughts in Fibromyalgia: Impact of Rumination on the Emotional and Cognitive Dimensions of Fibromyalgia,PRFM-1,False,False
🟥,,2015-000833-64,2017,Comparaison de trois biomédicaments en termes d’évolution des sous-populations lymphocytaires régulatrices et pro-inflammatoires chez des patients atteints de polyarthrite rhumatoïde.,CELyPoR,False,False
🟩,NCT02550496,,2017,"Evaluation of Trichoscopy in the Diagnosis of Tinea Capitis. Prospective, Multicenter Study (ETDT)",ETDT,True,True
🟥,NCT03114579,,2017,Evaluation of the Measurement of Cardiac Output by the NEXFIN HD Monitor in Peroperative,NEXFIN,False,False
🟥,NCT03118115,,2017,Bioimpedance Variation of Free Flap for After Clamping - MONITRANS,MONITRANS,False,False
🟥,NCT01306227,,2017,L-Thyroxine Supplementation for Preterm Newborns Less Than 32 Weeks of Gestation With Transient Hypothyroxinemia of Prematurity: a Prospective Randomized Double-blind Trial,,False,False
🟥,NCT02795663,,2017,Deep Brain Stimulation and Parkinson's Disease: Analysis of the Modifications of the Cortical Activation During Driving Tasks and During Tasks Involving the Control of the Impulses by Means of the Optical Imaging and of the Technique of Delay Discounting Task,SCP TCI NIRS,False,False
🟥,NCT03111654,,2017,A Pilot Study on the Prevention of the Vascular RISK Related to Atrial Fibrillation After Intracranial Hemorrhage by Closing the Left Auricle,RIVAFAG,False,False
🟥,NCT01543321,,2017,"Study of Efficacy and Acceptability of Tetrabenazine in the Late Dyskinetic Syndrome With Neuroleptics: A Randomized, Parallel Group, Double-blind Placebo Controlled Multicentre Trial",Xeladys,False,False
🟥,NCT02800954,,2018,Value of Macrophage-Colony Stimulating Factor as a New Marker of Bone Lesions in Multiple Myeloma,MCSF-MYELOME,False,False
🟥,NCT03103698,,2018,The Interest of the ANI in the Monitoring of Peroperative Analgesia in Bariatric Surgery: a Randomized Single Blind Study.,ANI,False,False
🟥,NCT02422017,,2018,Topical Timolol Benefit in Venous Ulcers,EETUV,False,False
🟥,NCT03114904,,2018,Comparison of the Efficacy of a Protocol for the Withdrawal of Neurosedation From the Usual Strategy in Cerebroses: Randomized Controlled Trial.,NEUROSEV,False,False
🟥,NCT03114930,,2018,"Study of the Prevalence of Complications Occurring in the Mother-newborn Couple During the First Month After Returning Home, Since the Introduction of Standard Outpatients (According to HAS 2014 Recommendations) at the Amiens-Picardie University Hospital",COMPLISTAN,False,False
🟥,NCT03031925,,2018,Detection of Annexin A2 in Systemic Lupus Erythematosus,ANLUP,False,False
🟩,NCT01613664,,2018,"Randomized Prospective Clinical Study Evaluating the Usefulness of Fibrin Glue (TISSEEL® KIT) to Prevent Gastric Fistula, Intra Abdominal Haemorrhage and Intra Abdominal Loco Regional Collections After Laparoscopic Sleeve Gastrectomy",TISSEEL,True,True
🟥,NCT01298336,,2019,Efficacy of Clarithromycin or Moxifloxacin Containing Regimen in 6 Months Sputum Conversion of Mycobacterium Xenopi,CAMOMY,False,False
🟥,NCT02770235,,2019,Evaluation of Advanced Glycation End-products (AGE) and the Erectile Dysfunction (DE) in Diabetic Patients,APGADEPD,False,False
🟧,NCT03502460,,2019,Fluid Administration Limited by Lung Ultrasonography in the Operating Room: Correlation to Stroke Volume Variation (ORFALU),ORFALU,False,True
🟥,NCT03506022,,2019,Prevalence of Sleep Apnea Syndrome in Patients With Type 1 Diabetes (APT1),APT1,False,False
🟥,NCT02765451,,2019,Randomized Trial Evaluating Intervention of the Cancéropôle Nord-Ouest in the Development of Clinical Research in Non-Academic Health Institutions (ERNU),ERNU,False,False
🟥,NCT02821078,,2019,Evaluation of 4D Magnetic Resonance Flow Sequence at Hepatic Level,HEPAFLUX,False,False
🟥,NCT02786056,,2019,Feasibility of Regional Lung Ventilation Imaging Using 3T MR Imaging With Ultrashort Echo Time (UTE) Pulse Sequences (PULMOREM Study),PULMOREM,False,False
🟥,NCT03117179,,2019,Patient Follow-up After Consultation in Emergency Department,,False,False
🟥,NCT03646851,,2019,Impact of Aspergillus on Chronic Obstructive Pulmonary Disease Evolution,AspergBPCO,False,False
🟥,NCT03144141,,2019,Association Between Holter Electro Hysterogram (EHG) and Risk of Preterm Delivery in Women Hospitalized for Threatened Premature Delivery,RACE,False,False
🟩,NCT02819739,,2019,Impact of Hyperoxia During Cardiopulmonary Bypass in the Occurrence of Cardiovascular Complications After Cardiac Surgery,CARDIOX,True,True
🟥,NCT03589261,,2019,Hepatic Blood Flow Changes During Fluid Challenge Assessed by MRI in Volunteers Subjects: a Prospective Monocentric Study. PORTEAU Trial,PORTEAU,False,False
🟥,NCT03008642,,2020,CO-Rebreathing in Comparison to Isotopic Red Cell Volume Determination in the Diagnosis of Primitive and Secondary Polycythemia: a Multicentric Study. Co-Rebreathing for the Measurement of Total Red Cell Mass in Polycythemia.,Poly-CO,False,False
🟥,NCT03964285,,2020,Impact of Rumination on Affectivity After Physical Activity in Fibromyalgia,PRFM-3,False,False
🟥,NCT03140332,,2020,Contribution of the Perfusion Scanner in the Prediction of the Tumor Control of Patients With Hepatocellular Carcinoma Treated With Sorafenib.,HCC-CTPerf,False,False
🟥,NCT03998397,,2020,Self-estimates and Objective Measurement of Blood Alcohol Concentration in Patients With Alcohol Intoxication Presenting to an Emergency Department,SEOBACED,False,False
🟥,NCT03984669,,2020,"(1,3)-Béta-D-Glucan Levels at Diagnosis of Juvenile Idiopathic Arthritis and Its Correlation With Activity's Disease : a Cohort Sudy",BDG -JIA,False,False
🟧,NCT02963883,,2020,"Erythrocyte Transfusion Based on the Measurement of Central Venous Oxygen Saturation in Postoperative Cardiac Surgery: a Bicentric, Prospective Randomized Study",PITT,False,True
🟥,NCT04341597,,2021,Evaluation of Transperineal Ultrasound Technic for Diagnostic Shorted Cervical Length for Pregnant Women (2nd and 3rd Trimester) Compared to Endovaginal Technic (Gold Standard),ECHO,False,False
🟥,NCT03877016,,2021,"Prospective, Multicentric, Randomized on Two Arms, Controlled, by Cross-over, Pilot Study, in Order to Evaluate Disconfort Among Outpatients Using actiTENS for Neuropathic Pain vs TENS ECO 2.",QolTENS,False,False
🟥,NCT03976505,,2021,Study of Comprehension and Execution of Medication Prescriptions Displayed on Touch-screens and Tablets in Parkinsonian Patients and Healthy Volunteers,TACTIPARK,False,False
🟥,NCT03882320,,2021,Medico-economic Evaluation of Sublingual PCA (Zalviso) Versus Oxycodone-PCA in the Management of Postoperative Pain. ''MEZO'',MEZO,False,False
🟥,NCT03139045,,2021,Impact of VeinViewer® Vision to Guide Peripheral Venipuncture in Geriatrics,VeinGER,False,False
🟥,NCT04049955,,2021,Endoscopic Management of Fistulas Related to Sleeve Gastrectomy With Double Pigtail Stents According to the BARTOLI Technique : an Interventional Multicentric and Prospective Study.,bartoli,False,False
🟥,NCT02002572,,2022,"Quantification, Analysis and Simulation of Facial Mimics Movements",SIMOVI-IRM,False,False
🟥,NCT05132036,,2022,Lung Ultrasound Assessment of Fluid Overload in Haemodialysis Patients Using 8 Sites Score,EP8SH,False,False
🟥,NCT02895750,,2022,Efficacity and Safety of Metformin XR in CKD Stage 1 to 3,METXR/CKD,False,False
🟩,NCT03852147,,2023,Individualized Hemodynamic Optimization by Indirect Measurement of the Respiratory Quotient in Major Surgery: Prospective Randomized Multicentre Open-Label Study (OPHIQUE) Individualized Optimization by Indirect Measurement of the Respiratory Quotient,OPHIQUE,True,True
🟥,NCT03140748,,2023,Kinetics of Serum β-D-glucan During Peritonitis With Candida in Resuscitation,PERIGLUC1,False,False
🟥,NCT05701020,,2023,Evaluation of Prevalence of Sexuality Alteration in Women With an Abnormal Pap Test,EVASEF,False,False
🟥,NCT04222010,,2023,Serratus Plain Block Versus Paravertebral Block Versus Serratus Plain Block and Paravertebral Block for Postoperative Pain Following Thoracoscopic Surgery,thoracoscopic,False,False
🟥,NCT05922956,,2023,Facial Emotion Recognition in Patients With Euthymic Bipolar Disorder I and II,REF-BIP,False,False
🟥,NCT05103189,,2023,4D Flow Cardiac MRI Velocity Mapping in Patients With Pulmonary Hypertension: Estimation of Pulmonary Arterial Pressure and Comparison With Right Heart Catheterization and Doppler Echocardiography,HTPFLUW,False,False
🟥,NCT05769244,,2023,Near Infrared Spectroscopy and Testicular Torsion in Children,SPIRETTE,False,False
🟥,NCT04794634,,2023,Relationship Between Alzheimer Disease and Diminution of the Three Macular Nervous Retinal Layers,RETEVAL,False,False
🟥,NCT04270136,,2023,Feasibility of Total Mastectomy in Ambulatory Care,AMASTEC,False,False
🟥,NCT04700631,,2023,Extracellular Vesicles as Biomarkers for Chronic Renal Failure,VE-IRC,False,False
🟥,NCT05815134,,2023,Cell Free DNA Quantification in Patients With Endometriosis Followed Witd Medical Assistance to Procreation,ENDO-FIV,False,False
🟥,NCT04172818,,2023,Feasibility Study of a Diary for Allogenic Hematopoietic Stem Cell Transplantation Patients and Families,JACintHE,False,False
🟥,NCT04469491,,2023,Treatment of COVID-19 by Nebulization of Inteferon Beta 1b Efficiency and Safety Study,COV-NI,False,False
🟥,NCT05573659,,2023,Capillary Refill Time Calculated With a Video-assisted Method Has a Better Reproducibility Than Visual Method in Critically Ill Patients a Prospective Monocentric Study,EVITREC,False,False
🟥,NCT05649839,,2023,Design of a Prototype Garment Adapted to Demented Elderly Subjects With Disturbing Behavioral Problems in the Management of Sphincter Disorders,GERONESIE,False,False
🟥,NCT04350502,,2023,Pharmacokinetics and Pleural Fluid Penetration of Amoxicillin and Clavulanic Acid in Patients With Pleural Infections,PK-plèvre,False,False
🟥,NCT03927079,,2023,Predictive Factors of Good Pulmonary Penetration of Antibiotics : AntiBiotics Dosage in Broncho-Alveolar Lavage,ABBA,False,False
🟥,NCT05404737,,2023,Interchangeability of Right Ventricle Longitudinal Shortening Fraction Measurements Performed by Trans-thoracic and Trans-esophageal Echocardiography in the Operating Room,RVLSBO,False,False
🟥,NCT04048239,,2023,Development of a Robotic Minimally Invasive Pathway for Cochlear Implantation,ROSA-IC,False,False
🟥,NCT06094322,,2024,Advanced DL-based T2w and DWI MR Sequences for Prostate Imaging,DLRPRO,False,False
🟥,NCT01628952,,,Comparison of the Bilateral Transversus Abdominis Plane (TAP) Block Versus Curare in Muscle Relaxation of the Abdominal Wall During Laparoscopic Digestive Surgery: Prospective Randomized Study,,False,False
🟥,,2020-001892-34,,"Treatment of COVID-19 by Nebulization of Inteferon Beta 1b added to lopinavir/ritonavir: Feasibility, Efficiency and Safety Study 
 
 
 Traitement du COVID-19 : Etude de faisabilité, d’efficacité et de sécurité de l’ajout de Nébubilisation d’Interferon Beta 1b au lopinavir/ritonavir","COV-NI 
 
 
 COV-NI",False,False
🟥,,2016-001233-27,,"Efficacity and safety of metformin extended release (XR) in diabetic patients with CKD in stages 1 to 3 (METXR/CKD) 
 
 
 Efficacité et tolérance de la metformine à diffusion prolongée (XR) chez le sujet diabétique dans les stades 1 à 3 d’insuffisance rénale chronique",METXRpourIRC,False,False
