S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟧,NCT01853358,,2018,Phase I of Infusion of Selected Donor NK Cells After HLA Identical Allogeneic Stem Cell Transplantation Prepared With Reduced Intensity Conditioning - DLI-NK/IPC 2012-003,DLI-NK,False,True
🟥,NCT03686592,,2019,Psychological Effect of the pancréatectomy: a Feeling of Strangeness,REPPSE,False,False
🟥,,2014-000758-12,2020,"Study of pharmacokinetics of intravenous busulfan (Busilvex ®) in the conditioning allogeneic transplantation in patients with high-risk hematological disease. 
 
 
 Etude de pharmacocinétique du Busulfan intra-veineux (Busilvex®) dans le conditionnement d’une greffe allogénique chez des patients à haut risque porteurs d’hémopathie.",BX-PK-IPC2013-016,False,False
🟥,NCT01939327,,2020,"A Phase II Single-arm, Open-label Study to Evaluate the Safety and Efficacy of Combination Lenalidomide (Revlimid®) With Rituximab in Subjets With Relapsed or Refractory Diffuse Large b Cell Non-Hodgkin's Lymphoma.",R2,False,False
🟥,NCT02483325,,2020,Phase II Study Evaluating the Efficacy of Allogeneic Transplant Conditioning With Adaptive Dose Busulfan Intravenous (Busilvex®) in Patients at High Risk of Carrying Blood Diseases,BX-PK,False,False
🟥,NCT04401046,,2021,COVID-19 EPIDEMIC Reorganisation of Cancer Patient Care: Self- Evaluation of Potential Post-traumatic Stress Disorder,COVID-TRAUMA,False,False
🟥,NCT02623309,,2021,,,False,False
🟥,NCT03679338,,2022,Prospective Evaluation of the Ablation Therapy With Bipolar Radio Frequency for Nonresectable Bile Duct Cancer,RFA-BILIAIRE,False,False
🟥,NCT04112654,,2023,Prospective Randomized Evaluation of the Contribution of Low-pressure Intra-abdominal Insufflation for Laparoscopic Colic Resection,LoPreCol,False,False
🟥,NCT03961893,,2023,Panoramic Screening by Complete Colonoscopy in the Management of Colorectal Adenomas,G-EYE-ADR,False,False
🟥,NCT00802568,,,Pilot Study of Allogeneic Hematopoietic Stem Cell Transplantation Following Reduced Intensity Conditioning in Treating Patients With Multiple Myeloma,,False,False
🟥,NCT00806767,,,Phase II Study of Allogeneic Transplant of Hematopoietic Stem Cells From a Compatible Family Donor in the Treatment of Patients Over 55 Years With Hematological Malignancies,,False,False
🟥,NCT00963521,,,Pilot Study of Therapeutic Vaccination by Leukemic Blasts in Vitro Differentiated Dendritic Cells From Patients With Acute Myelogenous Leukemia in Complete Remission,,False,False
🟥,NCT00840684,,,A PHASE I-II MULTICENTER STUDY OF THE CLORETAZINE-DAUNORUBICIN-ARACYTINE COMBINATION FOR THE TREATMENT OF ACUTE MYELOID LEUKEMIA (AML) WITH UNFAVORABLE CYTOGENETICS,,False,False
🟥,NCT02860793,,,Role of PTK-7 in Acute Myeloid Leukemias: Impact of PTK7 Serum Marker and ex Vivo Studies to Decipher the Role of PTK7,LAM-PTK7,False,False
🟥,NCT00540956,,,Descriptive Study Evaluating the Presence and Function of Natural Killer Cells in Elderly Patients With Acute Myeloid Leukemia in First Remission.,,False,False
🟥,,2011-002167-23,,"A phase Ib/II open-label study evaluating safety and efficacy of oral BKM120 in combination with lapatinib in HER2+/PI3K-activated, trastuzumab-resistant locally advanced, recurrent and metastatic breast cancer. 
 
 
 Etude de phase Ib/II évaluant la sécurité et l’efficacité du BKM120 en combinaison avec le lapatinib dans les cancers du sein récidivants, localement avancés ou métastatiques, HER2+ résistants au trastuzumab avec activation de la voie PI3K",PIKHER2,False,False
