S,NCTId,eudraCT,study_completion_year,title,acronym,has_results_or_publications_within_1y,has_results_or_publications_within_3y
🟥,NCT00776438,2007-002104-18,2009,"Evaluation of the Cellular, Humoral and Mucosal Immune Response in Adults and Elderly Subjects Vaccinated Either With an Inactivated Influenza Vaccine Administered Via the Intradermal Route or an Inactivated Influenza Vaccine Administered Via the Intramuscular Route",,False,False
🟥,NCT01089660,2010-018991-25,2010,"Immunogenicity of the Intramuscular Inactivated, Split Virion Swine-origin A/H1N1 Influenza Vaccine Without Adjuvant in Healthy Adult Subjects","Open, phase II trial. 200 subjects aged 18 to 60 years will receive the non-adjuvanted vaccine",False,False
🟥,,2010-019835-37,2010,"Safety and Immunogenicity of an Intramuscular H5N1 Inactivated, Split Virion Influenza Vaccine Adjuvanted with AF03 in Adults and Elderly subjects",,False,False
🟥,NCT01121822,2009-017690-38,2010,"Immunogenicity and Safety of the Influenza Vaccine (Split Virion, Inactivated), Northern Hemisphere 2010-2011 Formulation (Intramuscular Route)","Immunogenicity and Safety of a Vaccine against Influenza (2010-2011 NH season, intramuscular route)",False,False
🟥,NCT00954798,2009-013344-37,2011,"Immunogenicity and Safety of Multiple Formulations of an Intramuscular Inactivated, Split Virion Swine-origin A/H1N1 Influenza Vaccine With and Without Adjuvant in Healthy European Adult and Elderly Subjects",Immunogenicity and safety of different formulations of intramuscular swine-origin influenza vaccine,False,False
🟥,NCT01249183,,2011,"An Open-label, Randomised, Multicentre Study to Evaluate the Immunogenicity and Safety of a Booster Dose of Diphtheria, Tetanus, Acellular Pertussis and Inactivated Poliomyelitis Adsorbed Vaccine (REPEVAX) Administered Concomitantly Versus Non-concomitantly With an Influenza Vaccine (VAXIGRIP) to Subjects of 60 Years of Age and Older",,False,False
🟧,NCT00948272,2009-009877-85,2011,Immunogenicity of the Purified Vero Rabies Vaccine - Serum Free in Comparison With the Reference Purified Vero Rabies Vaccine in Pre-exposure Use in Healthy Adults,,False,True
🟥,,2010-021068-13,2011,"An open-label, randomised, multicentre study to evaluate the immunogenicity and safety of  a booster dose of diphtheria, tetanus, acellular pertussis and inactivated poliomyelitis adsorbed vaccine (REPEVAX) administered concomitantly versus non-concomitantly with an influenza vaccine (VAXIGRIP) to subjects of 60 years of age and older",,False,False
🟧,NCT01546909,2011-004458-25,2012,"Antibody Persistence in 11 to 13-year-old Children Previously Vaccinated at 6 Years Old With Either REVAXIS or DT Polio, and Immune Response to a Booster Dose of TETRAVAC-ACELLULAIRE",Antibody persistence to REVAXIS or DT Polio and Immune response to TETRAVAC-ACELLULAIRE,False,True
🟥,NCT01287949,,2012,"An Open-label, Multicentre Study to Evaluate the Immunogenicity and Safety of One Dose of a Diphtheria, Tetanus, Acellular Pertussis and Poliomyelitis Vaccine (REPEVAX) Followed by 2 Doses of a Diphtheria, Tetanus and Poliomyelitis Vaccine (REVAXIS) in Subjects of 40 Years of Age or Older Without a Previous Diphtheria- and Tetanus-containing Booster Within the Last 20 Years",,False,False
🟩,NCT04024228,2019-000655-14,2020,Immunogenicity and Safety of a High-Dose Quadrivalent Influenza Vaccine Administered by the Intramuscular Route in Subjects 60 Years of Age and Older,,True,True
🟩,NCT03965962,2018-004055-20,2021,"Immunogenicity and Safety of a Purified Vero Rabies Vaccine - Serum Free in Comparison With Verorab® and Imovax® Rabies, in a Simulated Rabies Post-exposure Regimen in Healthy Adults in France",,True,True
🟩,NCT04762680,,2023,Immunogenicity and Safety of SARS-CoV-2 Recombinant Protein Vaccines With AS03 Adjuvant in Adults 18 Years of Age and Older as a Primary Series and Immunogenicity and Safety of a Booster Dose of SARS-CoV-2 Adjuvanted Recombinant Protein Vaccines (Two Monovalent and One Bivalent),,True,True
🟥,,2006-000715-19,,A Long-Term Safety and Immunogenicity Follow-up of Healthy Adults Vaccinated with One Dose of Smallpox Vaccine (LISTER Strain).,,False,False
🟥,,2005-002175-32,,Take evaluation and safety of smallpox vaccine (LISTER strain) in naïve healthy adults,,False,False
🟥,,2012-005243-25,,"Immunogenicity and Safety of the Trivalent Influenza Vaccine (Split-Virion, Inactivated), Northern Hemisphere 2013-2014 Formulation (Intradermal Route)",,False,False
🟥,NCT00566527,2007-002468-88,,"An open-label, randomised, comparative, multi-centre study of the immunogenicity and safety of a 2-dose regimen of ProQuad® manufactured with rHA administered to healthy children from 9 months of age",,False,False
